Method,Episode,Pieces,WallHits,Reward,FixedUpdateCount
NEAT,1,0,0,0,24
NEAT,1,3,1,2.8,1028
NEAT,2,12,11,9.8,2030
NEAT,3,12,11,9.8,3031
NEAT,4,7,8,5.4,4034
NEAT,5,2,0,2,5038
NEAT,6,2,0,2,6040
NEAT,7,12,9,10.2,7042
NEAT,8,9,3,8.4,8046
NEAT,9,7,6,5.8,9048
NEAT,10,12,12,9.6,10050
NEAT,11,12,9,10.2,11052
NEAT,12,12,15,9,12055
NEAT,13,11,11,8.8,13058
NEAT,14,11,11,8.8,14061
NEAT,15,12,14,9.2,15061
NEAT,16,11,9,9.2,16064
NEAT,17,12,8,10.4,17066
NEAT,18,10,10,8,18066
NEAT,19,12,12,9.6,19070
NEAT,20,11,12,8.6,20070
NEAT,21,11,8,9.4,21073
NEAT,22,12,6,10.8,22074
NEAT,23,7,8,5.4,23078
NEAT,24,10,9,8.2,24079
NEAT,25,10,9,8.2,25080
NEAT,26,11,11,8.8,26083
NEAT,27,4,2,3.6,27085
NEAT,28,11,5,10,28086
NEAT,29,13,1,12.8,29089
NEAT,30,13,0,13,30090
NEAT,31,14,2,13.6,31091
NEAT,32,13,12,10.6,32092
NEAT,33,13,22,8.6,33095
NEAT,34,12,2,11.6,34099
NEAT,35,14,24,9.2,35101
NEAT,36,14,21,9.8,36102
NEAT,37,13,11,10.8,37105
NEAT,38,15,34,8.2,38108
NEAT,39,14,10,12,39109
NEAT,40,13,5,12,40111
NEAT,41,14,9,12.2,41112
NEAT,42,13,11,10.8,42113
NEAT,43,13,2,12.6,43115
NEAT,44,13,0,13,44116
NEAT,45,14,8,12.4,45117
NEAT,46,13,14,10.2,46121
NEAT,47,13,2,12.6,47123
NEAT,48,14,6,12.8,48125
NEAT,49,14,6,12.8,49125
NEAT,50,13,4,12.2,50128
NEAT,51,13,8,11.4,51131
NEAT,52,13,2,12.6,52133
NEAT,53,14,4,13.2,53136
NEAT,54,15,8,13.4,54140
NEAT,55,13,0,13,55140
NEAT,56,3,2,2.6,56143
NEAT,57,14,0,14,57144
NEAT,58,13,0,13,58146
NEAT,59,14,7,12.6,59147
NEAT,60,13,4,12.2,60149
NEAT,61,14,4,13.2,61152
NEAT,62,12,0,12,62154
NEAT,63,13,2,12.6,63156
NEAT,64,15,2,14.6,64158
NEAT,65,14,0,14,65160
NEAT,66,15,3,14.4,66163
NEAT,67,13,3,12.4,67164
NEAT,68,16,44,7.2,68168
NEAT,69,14,6,12.8,69171
NEAT,70,13,3,12.4,70171
NEAT,71,12,0,12,71173
NEAT,72,14,0,14,72176
NEAT,73,14,4,13.2,73179
NEAT,74,12,0,12,74180
