Method,Episode,Pieces,WallHits,Reward,FixedUpdateCount
PPO,0,0,0,-1,1
PPO,1,1,2,-0.4,1000
PPO,2,1,0,0,2000
PPO,3,1,4,-0.8,3000
PPO,4,1,0,0,4000
PPO,5,2,0,1,5000
PPO,6,1,5,-1,6000
PPO,7,1,0,0,7000
PPO,8,1,0,0,8000
PPO,9,1,2,-0.4,9000
PPO,10,1,0,0,10000
PPO,11,1,3,-0.6,11000
PPO,12,2,0,1,12000
PPO,13,1,0,0,13000
PPO,14,1,0,0,14000
PPO,15,1,4,-0.8,15000
PPO,16,1,1,-0.2,16000
PPO,17,1,4,-0.8,17000
PPO,18,1,4,-0.8,18000
PPO,19,1,6,-1.2,19000
PPO,20,1,3,-0.6,20000
PPO,21,1,0,0,21000
PPO,22,1,0,0,22000
PPO,23,1,0,0,23000
PPO,24,1,4,-0.8,24000
PPO,25,1,2,-0.4,25000
PPO,26,1,0,0,26000
PPO,27,1,1,-0.2,27000
PPO,28,1,0,0,28000
PPO,29,1,2,-0.4,29000
PPO,30,1,0,0,30000
PPO,31,1,5,-1,31000
PPO,32,1,0,0,32000
PPO,33,1,0,0,33000
PPO,34,1,0,0,34000
PPO,35,1,8,-1.6,35000
PPO,36,1,0,0,36000
PPO,37,1,0,0,37000
PPO,38,1,5,-1,38000
PPO,39,1,3,-0.6,39000
PPO,40,1,3,-0.6,40000
PPO,41,0,6,-2.2,41000
PPO,42,1,1,-0.2,42000
PPO,43,1,0,0,43000
PPO,44,1,0,0,44000
PPO,45,1,0,0,45000
PPO,46,1,0,0,46000
PPO,47,1,0,0,47000
PPO,48,1,3,-0.6,48000
PPO,49,1,0,0,49000
PPO,50,1,0,0,50000
PPO,51,1,5,-1,51000
PPO,52,1,3,-0.6,52000
PPO,53,1,0,0,53000
PPO,54,1,3,-0.6,54000
PPO,55,1,3,-0.6,55000
PPO,56,1,4,-0.8,56000
PPO,57,1,1,-0.2,57000
PPO,58,1,2,-0.4,58000
PPO,59,1,0,0,59000
PPO,60,1,7,-1.4,60000
PPO,61,1,0,0,61000
PPO,62,1,0,0,62000
PPO,63,1,0,0,63000
PPO,64,1,0,0,64000
PPO,65,1,2,-0.4,65000
PPO,66,1,5,-1,66000
PPO,67,1,0,0,67000
PPO,68,1,2,-0.4,68000
PPO,69,1,10,-2,69000
PPO,70,1,1,-0.2,70000
PPO,71,1,3,-0.6,71000
PPO,72,1,0,0,72000
PPO,73,1,0,0,73000
PPO,74,1,0,0,74000
PPO,75,1,0,0,75000
PPO,76,1,7,-1.4,76000
PPO,77,1,0,0,77000
PPO,78,1,5,-1,78000
PPO,79,1,4,-0.8,79000
PPO,80,1,1,-0.2,80000
PPO,81,1,0,0,81000
PPO,82,1,3,-0.6,82000
PPO,83,1,8,-1.6,83000
PPO,84,1,11,-2.2,84000
PPO,85,1,0,0,85000
PPO,86,1,1,-0.2,86000
PPO,87,1,0,0,87000
PPO,88,1,0,0,88000
PPO,89,1,0,0,89000
PPO,90,1,0,0,90000
PPO,91,1,0,0,91000
PPO,92,1,2,-0.4,92000
PPO,93,1,11,-2.2,93000
PPO,94,0,8,-2.6,94000
PPO,95,1,0,0,95000
PPO,96,1,7,-1.4,96000
PPO,97,1,0,0,97000
PPO,98,1,1,-0.2,98000
PPO,99,1,1,-0.2,99000
PPO,100,1,0,0,100000
PPO,101,1,0,0,101000
PPO,102,1,0,0,102000
PPO,103,1,0,0,103000
PPO,104,1,0,0,104000
PPO,105,1,0,0,105000
PPO,106,1,5,-1,106000
PPO,107,1,0,0,107000
PPO,108,1,0,0,108000
PPO,109,1,2,-0.4,109000
PPO,110,1,0,0,110000
PPO,111,1,0,0,111000
PPO,112,1,0,0,112000
PPO,113,1,0,0,113000
PPO,114,1,0,0,114000
PPO,115,1,0,0,115000
PPO,116,1,4,-0.8,116000
PPO,117,1,0,0,117000
PPO,118,1,0,0,118000
PPO,119,1,0,0,119000
PPO,120,1,0,0,120000
PPO,121,1,7,-1.4,121000
PPO,122,0,10,-3,122000
PPO,123,1,0,0,123000
PPO,124,1,0,0,124000
PPO,125,1,0,0,125000
PPO,126,1,0,0,126000
PPO,127,1,0,0,127000
PPO,128,1,0,0,128000
PPO,129,2,5,-1.490116E-08,129000
PPO,130,1,0,0,130000
PPO,131,1,0,0,131000
PPO,132,1,5,-1,132000
