Method,Episode,Pieces,WallHits,Reward,FixedUpdateCount
NEAT,1,0,0,0,1873
NEAT,1,3,0,3,2873
NEAT,2,12,11,9.8,3874
NEAT,3,12,11,9.8,4874
NEAT,4,7,7,5.6,5875
NEAT,5,2,0,2,6875
NEAT,6,2,0,2,7875
NEAT,7,12,8,10.4,8876
NEAT,8,8,6,6.8,9876
NEAT,9,7,6,5.8,10876
NEAT,10,7,4,6.2,11877
NEAT,11,12,10,10,12877
NEAT,12,12,11,9.8,13877
NEAT,13,6,5,5,14877
NEAT,14,11,14,8.2,15878
NEAT,15,10,11,7.8,16878
NEAT,16,11,9,9.2,17879
NEAT,17,13,3,12.4,18880
NEAT,18,2,0,2,19883
NEAT,19,4,3,3.4,20884
NEAT,20,2,0,2,21886
NEAT,21,11,5,10,22886
NEAT,22,7,4,6.2,23887
NEAT,23,3,1,2.8,24887
NEAT,24,8,6,6.8,25889
NEAT,25,9,14,6.2,26891
NEAT,26,9,18,5.4,27892
NEAT,27,2,0,2,28893
NEAT,28,12,3,11.4,29893
NEAT,29,9,15,6,30893
NEAT,30,9,6,7.8,31895
NEAT,31,11,13,8.4,32895
NEAT,32,2,0,2,33895
NEAT,33,2,0,2,34897
NEAT,34,2,0,2,35898
NEAT,35,11,15,8,36898
NEAT,36,13,14,10.2,37899
NEAT,37,11,10,9,38900
NEAT,38,6,5,5,39900
NEAT,39,6,5,5,40901
NEAT,40,6,5,5,41901
NEAT,41,5,4,4.2,42902
NEAT,42,11,10,9,43903
NEAT,43,11,9,9.2,44903
NEAT,44,11,9,9.2,45905
NEAT,45,11,10,9,46906
NEAT,46,12,11,9.8,47907
NEAT,47,8,7,6.6,48908
NEAT,48,6,6,4.8,49909
NEAT,49,4,3,3.4,50911
NEAT,50,2,0,2,51912
NEAT,51,13,6,11.8,52913
NEAT,52,11,1,10.8,53913
NEAT,53,13,25,8,54913
NEAT,54,12,11,9.8,55914
NEAT,55,6,5,5,56915
NEAT,56,2,2,1.6,57916
NEAT,57,14,2,13.6,58918
NEAT,58,13,2,12.6,59919
NEAT,59,4,3,3.4,60920
NEAT,60,13,15,10,61921
NEAT,61,11,9,9.2,62921
NEAT,62,12,0,12,63922
NEAT,63,13,0,13,64922
NEAT,64,15,8,13.4,65924
NEAT,65,14,2,13.6,66925
NEAT,66,15,16,11.8,67925
NEAT,67,12,0,12,68926
NEAT,68,16,21,11.8,69928
NEAT,69,14,10,12,70929
NEAT,70,13,23,8.4,71930
NEAT,71,12,0,12,72931
NEAT,72,14,2,13.6,73933
NEAT,73,14,5,13,74934
NEAT,74,13,0,13,75934
NEAT,75,13,5,12,76939
NEAT,76,14,0,14,77939
NEAT,77,12,0,12,78939
NEAT,78,13,2,12.6,79940
NEAT,79,4,4,3.2,80941
NEAT,80,13,2,12.6,81942
NEAT,81,13,0,13,82943
NEAT,82,14,2,13.6,83945
NEAT,83,14,4,13.2,84945
NEAT,84,13,2,12.6,85947
NEAT,85,14,5,13,86947
NEAT,86,14,2,13.6,87949
NEAT,87,14,4,13.2,88950
NEAT,88,13,0,13,89950
NEAT,89,14,4,13.2,90952
NEAT,90,14,2,13.6,91952
NEAT,91,13,0,13,92954
NEAT,92,14,0,14,93956
NEAT,93,13,0,13,94956
NEAT,94,13,2,12.6,95956
NEAT,95,13,2,12.6,96958
NEAT,96,14,6,12.8,97958
NEAT,97,13,4,12.2,98959
NEAT,98,14,2,13.6,99960
NEAT,99,14,2,13.6,100962
NEAT,100,14,2,13.6,101964
NEAT,101,13,2,12.6,102965
NEAT,102,2,2,1.6,103967
NEAT,103,12,11,9.8,104968
NEAT,104,13,0,13,105969
NEAT,105,14,6,12.8,106969
NEAT,106,14,3,13.4,107970
NEAT,107,14,2,13.6,108971
NEAT,108,14,4,13.2,109971
NEAT,109,13,10,11,110973
NEAT,110,14,17,10.6,111973
NEAT,111,14,0,14,112974
NEAT,112,13,2,12.6,113975
NEAT,113,13,6,11.8,114976
NEAT,114,12,1,11.8,115978
NEAT,115,14,1,13.8,116979
NEAT,116,14,4,13.2,117981
NEAT,117,13,0,13,118982
NEAT,118,14,4,13.2,119984
NEAT,119,13,0,13,120984
NEAT,120,14,6,12.8,121986
NEAT,121,13,2,12.6,122986
NEAT,122,13,0,13,123986
NEAT,123,13,0,13,124987
NEAT,124,13,4,12.2,125987
NEAT,125,13,0,13,126988
NEAT,126,13,5,12,127990
NEAT,127,13,3,12.4,128991
NEAT,128,12,4,11.2,129991
NEAT,129,2,2,1.6,130993
NEAT,130,13,3,12.4,131993
NEAT,131,13,0,13,132994
NEAT,132,13,1,12.8,133995
NEAT,133,14,2,13.6,134995
NEAT,134,14,2,13.6,135997
NEAT,135,13,2,12.6,136997
NEAT,136,14,5,13,137998
NEAT,137,14,15,11,138999
NEAT,138,14,4,13.2,140000
NEAT,139,12,0,12,141002
NEAT,140,14,2,13.6,142002
NEAT,141,14,0,14,143004
NEAT,142,15,8,13.4,144006
NEAT,143,14,3,13.4,145008
NEAT,144,12,0,12,146009
NEAT,145,13,0,13,147010
NEAT,146,15,13,12.4,148011
NEAT,147,14,3,13.4,149011
NEAT,148,14,4,13.2,150013
NEAT,149,13,1,12.8,151014
NEAT,150,13,2,12.6,152015
NEAT,151,13,2,12.6,153016
NEAT,152,14,2,13.6,154018
NEAT,153,13,2,12.6,155019
NEAT,154,14,11,11.8,156020
NEAT,155,15,11,12.8,157021
NEAT,156,5,6,3.8,158022
NEAT,157,13,1,12.8,159023
NEAT,158,13,2,12.6,160024
NEAT,159,12,0,12,161024
NEAT,160,13,2,12.6,162024
NEAT,161,12,0,12,163025
NEAT,162,16,9,14.2,164026
NEAT,163,13,2,12.6,165026
NEAT,164,14,2,13.6,166028
NEAT,165,13,3,12.4,167029
NEAT,166,12,1,11.8,168031
NEAT,167,13,6,11.8,169031
NEAT,168,13,11,10.8,170032
NEAT,169,12,0,12,171032
NEAT,170,14,2,13.6,172033
NEAT,171,12,2,11.6,173034
NEAT,172,14,0,14,174034
NEAT,173,13,4,12.2,175035
NEAT,174,13,8,11.4,176037
NEAT,175,14,2,13.6,177038
NEAT,176,14,3,13.4,178039
NEAT,177,13,0,13,179040
NEAT,178,14,2,13.6,180040
NEAT,179,13,0,13,181042
NEAT,180,13,1,12.8,182043
NEAT,181,13,4,12.2,183043
NEAT,182,13,0,13,184045
NEAT,183,13,0,13,185046
NEAT,184,14,6,12.8,186046
NEAT,185,13,2,12.6,187048
NEAT,186,13,6,11.8,188048
NEAT,187,13,0,13,189049
NEAT,188,14,4,13.2,190049
NEAT,189,14,8,12.4,191050
NEAT,190,14,3,13.4,192050
NEAT,191,13,0,13,193051
NEAT,192,13,0,13,194052
NEAT,193,13,5,12,195054
NEAT,194,13,0,13,196055
NEAT,195,13,3,12.4,197056
NEAT,196,13,2,12.6,198057
NEAT,197,13,0,13,199058
NEAT,198,12,2,11.6,200059
NEAT,199,13,2,12.6,201060
NEAT,200,13,2,12.6,202062
NEAT,201,14,4,13.2,203063
NEAT,202,14,4,13.2,204064
NEAT,203,12,0,12,205064
NEAT,204,15,2,14.6,206066
NEAT,205,14,2,13.6,207068
NEAT,206,13,4,12.2,208068
NEAT,207,13,2,12.6,209069
NEAT,208,13,2,12.6,210069
NEAT,209,14,12,11.6,211072
NEAT,210,13,6,11.8,212073
NEAT,211,13,7,11.6,213074
NEAT,212,12,2,11.6,214075
NEAT,213,2,0,2,215076
NEAT,214,13,0,13,216077
NEAT,215,2,0,2,217077
NEAT,216,13,6,11.8,218079
NEAT,217,12,0,12,219079
NEAT,218,13,5,12,220080
NEAT,219,13,2,12.6,221082
NEAT,220,13,6,11.8,222082
NEAT,221,13,0,13,223082
NEAT,222,13,5,12,224083
NEAT,223,2,0,2,225083
NEAT,224,13,7,11.6,226085
NEAT,225,15,7,13.6,227086
NEAT,226,13,0,13,228087
NEAT,227,14,2,13.6,229087
NEAT,228,14,11,11.8,230089
NEAT,229,13,8,11.4,231090
NEAT,230,14,16,10.8,232091
NEAT,231,2,0,2,233092
NEAT,232,2,0,2,234093
NEAT,233,13,10,11,235094
NEAT,234,14,10,12,236095
NEAT,235,14,2,13.6,237096
NEAT,236,13,2,12.6,238097
NEAT,237,14,4,13.2,239098
NEAT,238,13,4,12.2,240099
NEAT,239,12,0,12,241101
NEAT,240,15,9,13.2,242101
NEAT,241,13,0,13,243102
NEAT,242,14,16,10.8,244102
NEAT,243,13,0,13,245103
NEAT,244,14,22,9.6,246104
NEAT,245,14,8,12.4,247105
NEAT,246,13,0,13,248105
NEAT,247,13,0,13,249105
NEAT,248,13,2,12.6,250106
NEAT,249,2,0,2,251107
NEAT,250,13,2,12.6,252109
NEAT,251,14,3,13.4,253109
NEAT,252,13,1,12.8,254110
NEAT,253,14,2,13.6,255111
NEAT,254,12,0,12,256113
NEAT,255,14,11,11.8,257114
NEAT,256,2,0,2,258115
NEAT,257,14,6,12.8,259116
NEAT,258,14,3,13.4,260117
NEAT,259,14,5,13,261119
NEAT,260,14,5,13,262120
NEAT,261,2,0,2,263121
NEAT,262,14,7,12.6,264122
NEAT,263,14,6,12.8,265124
NEAT,264,13,0,13,266124
NEAT,265,13,4,12.2,267126
NEAT,266,14,8,12.4,268128
NEAT,267,13,2,12.6,269128
NEAT,268,13,2,12.6,270129
NEAT,269,13,2,12.6,271130
NEAT,270,13,5,12,272131
NEAT,271,13,0,13,273133
NEAT,272,14,4,13.2,274134
NEAT,273,14,4,13.2,275135
NEAT,274,13,0,13,276136
NEAT,275,14,0,14,277138
NEAT,276,14,4,13.2,278139
NEAT,277,14,4,13.2,279139
NEAT,278,14,8,12.4,280141
NEAT,279,15,6,13.8,281142
NEAT,280,13,2,12.6,282144
NEAT,281,13,4,12.2,283145
NEAT,282,13,4,12.2,284146
NEAT,283,13,6,11.8,285147
NEAT,284,14,11,11.8,286149
NEAT,285,14,7,12.6,287150
NEAT,286,13,2,12.6,288151
NEAT,287,15,9,13.2,289153
NEAT,288,13,2,12.6,290153
NEAT,289,13,2,12.6,291154
NEAT,290,13,2,12.6,292154
NEAT,291,14,6,12.8,293156
NEAT,292,14,8,12.4,294157
NEAT,293,13,4,12.2,295159
NEAT,294,13,0,13,296159
NEAT,295,14,2,13.6,297160
NEAT,296,12,0,12,298161
NEAT,297,13,2,12.6,299162
NEAT,298,15,15,12,300164
NEAT,299,14,6,12.8,301165
NEAT,300,13,0,13,302166
NEAT,301,13,0,13,303167
NEAT,302,13,4,12.2,304167
NEAT,303,2,0,2,305167
NEAT,304,13,3,12.4,306167
NEAT,305,13,8,11.4,307168
NEAT,306,14,2,13.6,308169
NEAT,307,13,5,12,309169
NEAT,308,13,5,12,310170
NEAT,309,13,0,13,311171
NEAT,310,14,4,13.2,312173
NEAT,311,4,4,3.2,313174
NEAT,312,14,4,13.2,314176
NEAT,313,13,2,12.6,315178
NEAT,314,13,0,13,316179
NEAT,315,14,1,13.8,317180
NEAT,316,15,6,13.8,318182
NEAT,317,13,0,13,319184
NEAT,318,13,2,12.6,320184
NEAT,319,12,0,12,321185
NEAT,320,12,0,12,322186
NEAT,321,14,4,13.2,323188
NEAT,322,13,3,12.4,324189
NEAT,323,13,2,12.6,325190
NEAT,324,13,8,11.4,326191
NEAT,325,13,2,12.6,327192
NEAT,326,5,11,2.8,328194
NEAT,327,14,2,13.6,329195
NEAT,328,13,1,12.8,330197
NEAT,329,14,2,13.6,331198
NEAT,330,15,8,13.4,332199
NEAT,331,14,0,14,333200
NEAT,332,15,0,15,334201
NEAT,333,13,1,12.8,335201
NEAT,334,15,3,14.4,336202
NEAT,335,14,3,13.4,337203
NEAT,336,13,0,13,338204
NEAT,337,13,0,13,339205
NEAT,338,13,0,13,340206
NEAT,339,14,2,13.6,341207
NEAT,340,13,3,12.4,342207
NEAT,341,14,0,14,343209
NEAT,342,13,0,13,344209
NEAT,343,13,0,13,345211
NEAT,344,13,0,13,346211
NEAT,345,13,2,12.6,347212
NEAT,346,14,0,14,348213
NEAT,347,8,3,7.4,349215
NEAT,348,13,0,13,350216
NEAT,349,14,3,13.4,351217
NEAT,350,15,11,12.8,352217
NEAT,351,14,2,13.6,353218
NEAT,352,14,0,14,354219
NEAT,353,14,2,13.6,355219
NEAT,354,14,0,14,356220
NEAT,355,13,2,12.6,357221
NEAT,356,15,4,14.2,358222
NEAT,357,13,0,13,359224
NEAT,358,14,1,13.8,360225
NEAT,359,11,29,5.2,361226
NEAT,360,12,0,12,362227
NEAT,361,15,6,13.8,363228
NEAT,362,13,1,12.8,364229
NEAT,363,13,0,13,365231
NEAT,364,14,2,13.6,366231
NEAT,365,14,5,13,367232
NEAT,366,14,6,12.8,368233
NEAT,367,15,4,14.2,369235
NEAT,368,13,0,13,370236
NEAT,369,14,4,13.2,371237
NEAT,370,13,2,12.6,372237
NEAT,371,13,2,12.6,373239
NEAT,372,13,1,12.8,374240
NEAT,373,14,6,12.8,375240
NEAT,374,14,2,13.6,376241
NEAT,375,14,2,13.6,377243
NEAT,376,14,2,13.6,378244
NEAT,377,13,2,12.6,379245
NEAT,378,13,0,13,380247
NEAT,379,13,2,12.6,381248
NEAT,380,13,2,12.6,382249
NEAT,381,13,0,13,383249
NEAT,382,14,0,14,384250
NEAT,383,14,0,14,385251
NEAT,384,14,4,13.2,386253
NEAT,385,14,2,13.6,387254
NEAT,386,13,4,12.2,388254
NEAT,387,5,14,2.2,389255
NEAT,388,14,14,11.2,390257
NEAT,389,13,0,13,391258
NEAT,390,13,0,13,392259
NEAT,391,14,7,12.6,393259
NEAT,392,12,0,12,394261
NEAT,393,15,6,13.8,395261
NEAT,394,14,2,13.6,396263
NEAT,395,13,0,13,397264
NEAT,396,14,4,13.2,398266
NEAT,397,15,11,12.8,399268
NEAT,398,14,11,11.8,400270
NEAT,399,14,6,12.8,401271
NEAT,400,13,2,12.6,402272
NEAT,401,13,2,12.6,403273
NEAT,402,13,0,13,404275
NEAT,403,13,4,12.2,405275
NEAT,404,14,2,13.6,406276
NEAT,405,15,4,14.2,407278
NEAT,406,4,4,3.2,408280
NEAT,407,14,5,13,409280
NEAT,408,14,3,13.4,410280
NEAT,409,14,10,12,411282
NEAT,410,13,0,13,412283
NEAT,411,12,0,12,413285
NEAT,412,13,2,12.6,414287
NEAT,413,2,3,1.4,415287
NEAT,414,13,2,12.6,416288
NEAT,415,13,0,13,417289
NEAT,416,13,0,13,418290
NEAT,417,13,2,12.6,419292
NEAT,418,14,6,12.8,420293
NEAT,419,14,7,12.6,421294
NEAT,420,13,2,12.6,422294
NEAT,421,13,1,12.8,423295
NEAT,422,14,0,14,424295
NEAT,423,13,2,12.6,425296
NEAT,424,15,10,13,426297
NEAT,425,13,0,13,427298
NEAT,426,13,2,12.6,428299
NEAT,427,13,2,12.6,429300
NEAT,428,13,0,13,430301
