Method,Episode,Pieces,WallHits,Reward,FixedUpdateCount
NEAT,1,0,0,0,737
NEAT,1,3,0,3,1738
NEAT,2,8,6,6.8,2739
NEAT,3,12,11,9.8,3739
NEAT,4,4,2,3.6,4740
NEAT,5,2,0,2,5740
NEAT,6,2,0,2,6740
NEAT,7,4,3,3.4,7741
NEAT,8,7,3,6.4,8741
NEAT,9,7,4,6.2,9741
NEAT,10,7,5,6,10742
NEAT,11,12,10,10,11743
NEAT,12,2,0,2,12743
NEAT,13,2,0,2,13744
NEAT,14,7,7,5.6,14745
NEAT,15,11,11,8.8,15746
NEAT,16,10,6,8.8,16746
NEAT,17,11,9,9.2,17747
NEAT,18,12,18,8.4,18747
NEAT,19,12,12,9.6,19747
NEAT,20,11,12,8.6,20748
NEAT,21,11,7,9.6,21749
NEAT,22,12,7,10.6,22749
NEAT,23,8,8,6.4,23749
NEAT,24,10,8,8.4,24749
NEAT,25,11,13,8.4,25750
NEAT,26,12,15,9,26751
NEAT,27,4,2,3.6,27751
NEAT,28,11,5,10,28751
NEAT,29,12,13,9.4,29752
NEAT,30,12,11,9.8,30753
NEAT,31,11,10,9,31753
NEAT,32,5,5,4,32754
NEAT,33,2,0,2,33755
NEAT,34,11,11,8.8,34755
NEAT,35,9,8,7.4,35755
NEAT,36,8,7,6.6,36755
NEAT,37,12,14,9.2,37756
NEAT,38,3,3,2.4,38757
NEAT,39,6,6,4.8,39757
NEAT,40,4,0,4,40758
NEAT,41,5,4,4.2,41759
NEAT,42,5,13,2.4,42759
NEAT,43,11,9,9.2,43760
NEAT,44,3,0,3,44760
NEAT,45,4,3,3.4,45761
NEAT,46,10,9,8.2,46761
NEAT,47,8,4,7.2,47761
NEAT,48,5,1,4.8,48762
NEAT,49,6,6,4.8,49762
NEAT,50,2,0,2,50763
NEAT,51,5,4,4.2,51764
NEAT,52,11,11,8.8,52764
NEAT,53,7,6,5.8,53765
NEAT,54,6,6,4.8,54765
NEAT,55,6,3,5.4,55766
NEAT,56,2,0,2,56766
NEAT,57,13,11,10.8,57767
NEAT,58,12,8,10.4,58767
NEAT,59,4,3,3.4,59768
NEAT,60,10,9,8.2,60769
NEAT,61,7,4,6.2,61769
NEAT,62,11,2,10.6,62769
NEAT,63,9,9,7.2,63770
NEAT,64,4,1,3.8,64771
NEAT,65,12,6,10.8,65771
NEAT,66,7,7,5.6,66773
NEAT,67,12,10,10,67773
NEAT,68,2,0,2,68775
NEAT,69,11,8,9.4,69775
NEAT,70,3,2,2.6,70776
NEAT,71,12,11,9.8,71776
NEAT,72,8,8,6.4,72776
NEAT,73,7,0,7,73777
NEAT,74,12,11,9.8,74778
NEAT,75,3,1,2.8,75778
NEAT,76,6,5,5,76780
NEAT,77,3,0,3,77782
NEAT,78,11,7,9.6,78784
NEAT,79,2,0,2,79784
NEAT,80,12,11,9.8,80785
NEAT,81,9,10,7,81785
NEAT,82,4,3,3.4,82786
NEAT,83,4,4,3.2,83786
NEAT,84,11,11,8.8,84787
NEAT,85,4,2,3.6,85787
NEAT,86,5,6,3.8,86788
NEAT,87,7,7,5.6,87788
NEAT,88,12,10,10,88788
NEAT,89,4,2,3.6,89789
NEAT,90,3,0,3,90790
