Method,Episode,Pieces,WallHits,Reward,FixedUpdateCount
NEAT,1,0,0,0,145
NEAT,1,1,0,3,1146
NEAT,2,2,0,9.2,2146
NEAT,3,1,0,9.8,3146
NEAT,4,2,0,5.4,4147
NEAT,5,2,0,2,5147
NEAT,6,1,1,2,6148
NEAT,7,1,0,3.4,7148
NEAT,8,1,0,4.8,8149
NEAT,9,2,0,5.8,9149
NEAT,10,7,5,6,10149
NEAT,11,1,0,10,11149
NEAT,12,1,1,2,12150
NEAT,13,1,0,2,13150
NEAT,14,1,0,4.8,14151
NEAT,15,1,0,5.6,15151
NEAT,16,1,0,7,16152
NEAT,17,1,0,9.2,17152
NEAT,18,4,3,3.4,18152
NEAT,19,1,2,4,19152
NEAT,20,1,9,8.6,20152
NEAT,21,11,8,9.6,21153
NEAT,22,12,7,10.6,22153
NEAT,23,1,3,3.4,23153
NEAT,24,2,0,8.2,24153
NEAT,25,2,0,4,25153
NEAT,26,2,0,2.4,26154
NEAT,27,4,4,3.2,27154
NEAT,28,11,5,10.6,28155
NEAT,29,1,0,9.6,29155
NEAT,30,1,12,9.6,30155
NEAT,31,1,10,9,31155
NEAT,32,1,5,4.2,32156
NEAT,33,1,2,2,33156
NEAT,34,2,0,8.8,34156
NEAT,35,3,0,4,35157
NEAT,36,2,13,6.6,36157
NEAT,37,1,4,9.4,37157
NEAT,38,2,0,2.4,38158
NEAT,39,2,0,5,39159
NEAT,40,4,1,4,40159
NEAT,41,3,0,4.2,41159
NEAT,42,1,1,2,42159
NEAT,43,7,5,9.2,43159
NEAT,44,2,0,3,44160
NEAT,45,4,4,3.4,45162
NEAT,46,10,9,9,46163
NEAT,47,8,4,7.4,47165
NEAT,48,5,1,4.8,48166
NEAT,49,6,5,5,49166
NEAT,50,1,1,2,50167
NEAT,51,4,2,4.4,51167
NEAT,52,1,11,9,52168
NEAT,53,7,6,6.2,53168
NEAT,54,1,3,5,54169
NEAT,55,6,11,7.8,55171
NEAT,56,1,1,2.4,56173
NEAT,57,13,11,11.4,57173
NEAT,58,12,8,11.6,58174
NEAT,59,2,0,3.4,59175
NEAT,60,6,3,10.4,60176
NEAT,61,7,4,6.6,61178
NEAT,62,11,2,10.6,62179
NEAT,63,9,9,8.8,63181
NEAT,64,4,1,3.8,64182
NEAT,65,9,4,10,65183
NEAT,66,1,7,6.4,66185
NEAT,67,1,10,11.6,67186
NEAT,68,1,1,2,68187
NEAT,69,2,0,10,69187
NEAT,70,2,1,3.8,70188
NEAT,71,1,1,10.8,71189
NEAT,72,2,0,6.8,72189
