Method,Episode,Pieces,WallHits,Reward,FixedUpdateCount
NEAT,1,0,0,0,242
NEAT,1,0,0,4.8,1242
NEAT,2,0,0,6.2,2243
NEAT,3,0,0,6.6,3243
NEAT,4,0,0,6.8,4243
NEAT,5,0,0,6.4,5243
NEAT,6,0,0,6,6244
NEAT,7,0,0,5.8,7244
NEAT,8,0,0,7.4,8244
NEAT,9,0,0,6.4,9245
NEAT,10,0,0,6.8,10245
NEAT,11,0,0,9.2,11246
NEAT,12,0,0,6.4,12246
NEAT,13,0,0,6.6,13247
NEAT,14,0,0,8,14247
NEAT,15,0,0,8,15247
NEAT,16,0,0,8.6,16247
NEAT,17,0,0,7.2,17248
NEAT,18,0,0,5.4,18248
NEAT,19,0,0,7,19248
NEAT,20,0,0,7.2,20248
NEAT,21,0,0,7,21249
NEAT,22,0,0,7.8,22249
NEAT,23,0,0,7.2,23250
NEAT,24,0,0,8.2,24250
NEAT,25,0,0,6,25250
NEAT,26,0,0,5.8,26250
NEAT,27,0,0,7,27251
NEAT,28,0,0,10,28251
NEAT,29,0,0,7.8,29251
NEAT,30,0,0,7,30251
NEAT,31,0,0,9,31252
NEAT,32,0,0,6.6,32253
NEAT,33,0,0,6.8,33254
NEAT,34,0,0,7,34255
NEAT,35,0,0,6.8,35256
NEAT,36,0,0,8,36258
NEAT,37,0,0,9.2,37259
NEAT,38,0,0,7.4,38260
NEAT,39,0,0,6.2,39260
NEAT,40,0,0,6.4,40262
NEAT,41,0,0,7.2,41272
NEAT,42,0,0,7.4,42272
NEAT,43,0,0,10.4,43272
NEAT,44,0,0,12.2,44273
NEAT,45,0,0,11.6,45273
NEAT,46,0,0,11.4,46274
NEAT,47,0,0,11,47274
NEAT,48,0,0,13.6,48274
NEAT,49,0,0,10.8,49274
NEAT,50,0,0,10.6,50275
NEAT,51,0,0,11,51275
NEAT,52,0,0,11.4,52275
NEAT,53,0,0,11.8,53275
NEAT,54,0,0,15.6,54276
NEAT,55,0,0,12.6,55276
NEAT,56,0,0,10,56276
NEAT,57,0,0,12.8,57276
NEAT,58,0,0,11.8,58277
NEAT,59,0,0,13,59288
NEAT,60,0,0,12.8,60288
NEAT,61,0,0,13.4,61288
NEAT,62,0,0,12,62289
NEAT,63,0,0,11.6,63289
NEAT,64,0,0,13.8,64290
NEAT,65,0,0,13.4,65290
NEAT,66,0,0,13.2,66290
NEAT,67,0,0,12,67291
NEAT,68,0,0,13.6,68291
NEAT,69,0,0,13.4,69291
NEAT,70,0,0,12.6,70292
NEAT,71,0,0,12,71292
NEAT,72,0,0,12.6,72293
NEAT,73,0,0,13.8,73294
NEAT,74,0,0,12,74294
NEAT,75,0,0,12.6,75295
NEAT,76,0,0,13.4,76296
NEAT,77,0,0,12,77296
NEAT,78,0,0,11.6,78297
NEAT,79,0,0,12,79298
NEAT,80,0,0,12.2,80300
NEAT,81,0,0,12.8,81300
NEAT,82,0,0,14,82300
NEAT,83,0,0,12.6,83301
NEAT,84,0,0,12.8,84302
NEAT,85,0,0,12.6,85304
NEAT,86,0,0,13.8,86306
NEAT,87,0,0,13.6,87306
NEAT,88,0,0,11.8,88307
NEAT,89,0,0,13.2,89307
NEAT,90,0,0,12.6,90309
NEAT,91,0,0,12.8,91311
NEAT,92,0,0,12.4,92313
NEAT,93,0,0,12.2,93314
NEAT,94,0,0,12.6,94315
NEAT,95,0,0,12.6,95316
NEAT,96,0,0,13.6,96316
NEAT,97,0,0,12.6,97317
NEAT,98,0,0,13.8,98317
NEAT,99,0,0,13.4,99317
NEAT,100,0,0,12.2,100317
NEAT,101,0,0,13,101317
NEAT,102,0,0,10.6,102318
NEAT,103,0,0,12.4,103319
