Method,Episode,Pieces,WallHits,Reward,FixedUpdateCount
PPO,0,0,0,-1,1
PPO,1,1,6,-1.2,1000
PPO,2,1,1,-0.2,2000
PPO,3,1,3,-0.6,3000
PPO,4,1,6,-1.2,4000
PPO,5,2,1,0.8,5000
PPO,6,2,2,0.6,6000
PPO,7,1,3,-0.6,7000
PPO,8,1,5,-1,8000
PPO,9,1,4,-0.8,9000
PPO,10,2,6,-0.2,10000
PPO,11,1,5,-1,11000
PPO,12,1,2,-0.4,12000
PPO,13,1,2,-0.4,13000
PPO,14,1,3,-0.6,14000
PPO,15,1,3,-0.6,15000
PPO,16,1,1,-0.2,16000
PPO,17,1,4,-0.8,17000
PPO,18,1,2,-0.4,18000
PPO,19,1,3,-0.6,19000
PPO,20,1,4,-0.8,20000
PPO,21,1,2,-0.4,21000
PPO,22,1,4,-0.8,22000
PPO,23,2,3,0.4,23000
PPO,24,1,4,-0.8,24000
PPO,25,1,3,-0.6,25000
PPO,26,2,1,0.8,26000
PPO,27,1,2,-0.4,27000
PPO,28,1,2,-0.4,28000
PPO,29,1,2,-0.4,29000
PPO,30,1,2,-0.4,30000
PPO,31,1,1,-0.2,31000
PPO,32,1,1,-0.2,32000
PPO,33,2,5,-1.490116E-08,33000
PPO,34,2,2,0.6,34000
PPO,35,1,3,-0.6,35000
PPO,36,1,1,-0.2,36000
PPO,37,1,2,-0.4,37000
PPO,38,1,3,-0.6,38000
PPO,39,1,2,-0.4,39000
PPO,40,1,4,-0.8,40000
PPO,41,1,3,-0.6,41000
PPO,42,0,6,-2.2,42000
PPO,43,1,4,-0.8,43000
PPO,44,1,1,-0.2,44000
PPO,45,1,5,-1,45000
PPO,46,2,2,0.6,46000
PPO,47,1,0,0,47000
PPO,48,1,5,-1,48000
PPO,49,1,3,-0.6,49000
PPO,50,2,8,-0.6,50000
PPO,51,1,4,-0.8,51000
PPO,52,1,4,-0.8,52000
PPO,53,1,2,-0.4,53000
PPO,54,1,4,-0.8,54000
PPO,55,1,1,-0.2,55000
PPO,56,1,4,-0.8,56000
PPO,57,1,2,-0.4,57000
PPO,58,1,6,-1.2,58000
PPO,59,1,2,-0.4,59000
PPO,60,1,4,-0.8,60000
PPO,61,1,2,-0.4,61000
PPO,62,1,3,-0.6,62000
PPO,63,1,4,-0.8,63000
PPO,64,1,2,-0.4,64000
PPO,65,1,3,-0.6,65000
PPO,66,1,5,-1,66000
PPO,67,1,6,-1.2,67000
PPO,68,1,2,-0.4,68000
PPO,69,1,2,-0.4,69000
PPO,70,1,2,-0.4,70000
PPO,71,1,4,-0.8,71000
PPO,72,0,4,-1.8,72000
PPO,73,1,6,-1.2,73000
PPO,74,1,2,-0.4,74000
PPO,75,1,1,-0.2,75000
PPO,76,1,1,-0.2,76000
PPO,77,1,2,-0.4,77000
PPO,78,1,2,-0.4,78000
PPO,79,1,1,-0.2,79000
PPO,80,1,1,-0.2,80000
PPO,81,1,4,-0.8,81000
PPO,82,1,3,-0.6,82000
PPO,83,1,3,-0.6,83000
PPO,84,1,2,-0.4,84000
PPO,85,1,1,-0.2,85000
PPO,86,1,2,-0.4,86000
PPO,87,1,3,-0.6,87000
PPO,88,2,5,-1.490116E-08,88000
PPO,89,1,2,-0.4,89000
PPO,90,1,5,-1,90000
PPO,91,1,3,-0.6,91000
PPO,92,1,2,-0.4,92000
PPO,93,1,3,-0.6,93000
PPO,94,1,4,-0.8,94000
PPO,95,1,3,-0.6,95000
PPO,96,1,1,-0.2,96000
PPO,97,1,1,-0.2,97000
PPO,98,1,2,-0.4,98000
PPO,99,1,4,-0.8,99000
PPO,100,1,4,-0.8,100000
PPO,101,1,1,-0.2,101000
PPO,102,2,1,0.8,102000
PPO,103,2,1,0.8,103000
PPO,104,1,3,-0.6,104000
PPO,105,1,2,-0.4,105000
PPO,106,1,1,-0.2,106000
PPO,107,1,2,-0.4,107000
PPO,108,1,1,-0.2,108000
PPO,109,1,1,-0.2,109000
PPO,110,1,2,-0.4,110000
PPO,111,1,3,-0.6,111000
PPO,112,1,2,-0.4,112000
PPO,113,1,2,-0.4,113000
PPO,114,1,2,-0.4,114000
PPO,115,1,3,-0.6,115000
PPO,116,1,4,-0.8,116000
PPO,117,1,4,-0.8,117000
PPO,118,1,2,-0.4,118000
PPO,119,1,2,-0.4,119000
PPO,120,1,4,-0.8,120000
PPO,121,1,4,-0.8,121000
PPO,122,1,4,-0.8,122000
PPO,123,1,4,-0.8,123000
PPO,124,1,2,-0.4,124000
PPO,125,1,4,-0.8,125000
PPO,126,1,4,-0.8,126000
PPO,127,1,0,0,127000
PPO,128,1,4,-0.8,128000
PPO,129,1,3,-0.6,129000
PPO,130,1,4,-0.8,130000
PPO,131,1,2,-0.4,131000
PPO,132,1,3,-0.6,132000
PPO,133,1,0,0,133000
PPO,134,1,2,-0.4,134000
PPO,135,1,1,-0.2,135000
PPO,136,2,1,0.8,136000
PPO,137,1,3,-0.6,137000
PPO,138,1,2,-0.4,138000
PPO,139,1,8,-1.6,139000
PPO,140,2,1,0.8,140000
PPO,141,1,6,-1.2,141000
PPO,142,1,1,-0.2,142000
PPO,143,1,4,-0.8,143000
PPO,144,1,3,-0.6,144000
PPO,145,1,4,-0.8,145000
PPO,146,2,0,1,146000
PPO,147,1,5,-1,147000
PPO,148,1,1,-0.2,148000
PPO,149,1,4,-0.8,149000
PPO,150,1,1,-0.2,150000
PPO,151,1,3,-0.6,151000
PPO,152,1,1,-0.2,152000
PPO,153,1,1,-0.2,153000
PPO,154,1,1,-0.2,154000
PPO,155,1,2,-0.4,155000
PPO,156,1,5,-1,156000
PPO,157,1,2,-0.4,157000
PPO,158,1,2,-0.4,158000
PPO,159,1,4,-0.8,159000
PPO,160,1,5,-1,160000
PPO,161,1,2,-0.4,161000
PPO,162,1,3,-0.6,162000
PPO,163,1,1,-0.2,163000
PPO,164,1,3,-0.6,164000
PPO,165,1,2,-0.4,165000
PPO,166,1,2,-0.4,166000
PPO,167,1,2,-0.4,167000
PPO,168,1,6,-1.2,168000
PPO,169,1,4,-0.8,169000
PPO,170,1,5,-1,170000
PPO,171,1,1,-0.2,171000
PPO,172,1,3,-0.6,172000
PPO,173,1,6,-1.2,173000
PPO,174,1,3,-0.6,174000
PPO,175,1,2,-0.4,175000
PPO,176,1,3,-0.6,176000
PPO,177,1,4,-0.8,177000
PPO,178,1,4,-0.8,178000
PPO,179,0,4,-1.8,179000
PPO,180,1,3,-0.6,180000
PPO,181,1,5,-1,181000
PPO,182,1,4,-0.8,182000
PPO,183,1,5,-1,183000
PPO,184,1,2,-0.4,184000
PPO,185,1,3,-0.6,185000
PPO,186,1,5,-1,186000
PPO,187,1,2,-0.4,187000
PPO,188,1,8,-1.6,188000
PPO,189,1,2,-0.4,189000
PPO,190,2,2,0.6,190000
PPO,191,1,3,-0.6,191000
PPO,192,1,2,-0.4,192000
PPO,193,1,3,-0.6,193000
PPO,194,1,3,-0.6,194000
PPO,195,1,3,-0.6,195000
PPO,196,1,3,-0.6,196000
PPO,197,1,3,-0.6,197000
PPO,198,1,5,-1,198000
PPO,199,1,3,-0.6,199000
PPO,200,1,2,-0.4,200000
PPO,201,1,3,-0.6,201000
PPO,202,1,5,-1,202000
PPO,203,1,5,-1,203000
PPO,204,1,4,-0.8,204000
PPO,205,1,2,-0.4,205000
PPO,206,1,3,-0.6,206000
PPO,207,1,3,-0.6,207000
PPO,208,1,3,-0.6,208000
PPO,209,1,5,-1,209000
PPO,210,1,3,-0.6,210000
PPO,211,1,3,-0.6,211000
PPO,212,1,2,-0.4,212000
PPO,213,2,2,0.6,213000
PPO,214,1,2,-0.4,214000
PPO,215,1,2,-0.4,215000
PPO,216,1,2,-0.4,216000
PPO,217,1,3,-0.6,217000
PPO,218,1,1,-0.2,218000
PPO,219,1,1,-0.2,219000
PPO,220,1,4,-0.8,220000
PPO,221,1,5,-1,221000
PPO,222,1,4,-0.8,222000
PPO,223,1,4,-0.8,223000
PPO,224,1,6,-1.2,224000
PPO,225,1,5,-1,225000
PPO,226,1,2,-0.4,226000
PPO,227,1,2,-0.4,227000
PPO,228,1,2,-0.4,228000
PPO,229,1,2,-0.4,229000
PPO,230,1,3,-0.6,230000
PPO,231,1,3,-0.6,231000
PPO,232,1,3,-0.6,232000
PPO,233,1,4,-0.8,233000
PPO,234,1,3,-0.6,234000
PPO,235,1,2,-0.4,235000
PPO,236,0,3,-1.6,236000
PPO,237,1,3,-0.6,237000
PPO,238,1,3,-0.6,238000
PPO,239,1,6,-1.2,239000
PPO,240,1,5,-1,240000
PPO,241,1,2,-0.4,241000
PPO,242,1,1,-0.2,242000
PPO,243,1,5,-1,243000
PPO,244,1,1,-0.2,244000
PPO,245,2,3,0.4,245000
PPO,246,1,3,-0.6,246000
PPO,247,1,5,-1,247000
PPO,248,1,4,-0.8,248000
PPO,249,1,5,-1,249000
PPO,250,1,1,-0.2,250000
PPO,251,2,0,1,251000
PPO,252,1,4,-0.8,252000
PPO,253,2,2,0.6,253000
PPO,254,1,6,-1.2,254000
PPO,255,1,3,-0.6,255000
PPO,256,1,1,-0.2,256000
PPO,257,1,2,-0.4,257000
PPO,258,1,3,-0.6,258000
PPO,259,1,2,-0.4,259000
PPO,260,1,3,-0.6,260000
PPO,261,1,2,-0.4,261000
PPO,262,1,4,-0.8,262000
PPO,263,1,6,-1.2,263000
PPO,264,1,4,-0.8,264000
PPO,265,1,2,-0.4,265000
PPO,266,1,5,-1,266000
PPO,267,1,4,-0.8,267000
PPO,268,1,2,-0.4,268000
PPO,269,1,3,-0.6,269000
PPO,270,1,4,-0.8,270000
PPO,271,1,5,-1,271000
PPO,272,1,3,-0.6,272000
PPO,273,1,3,-0.6,273000
PPO,274,1,2,-0.4,274000
PPO,275,1,3,-0.6,275000
PPO,276,1,5,-1,276000
PPO,277,1,4,-0.8,277000
PPO,278,1,2,-0.4,278000
PPO,279,1,3,-0.6,279000
PPO,280,1,1,-0.2,280000
PPO,281,1,2,-0.4,281000
PPO,282,1,1,-0.2,282000
PPO,283,1,6,-1.2,283000
PPO,284,2,4,0.2,284000
PPO,285,1,3,-0.6,285000
PPO,286,1,3,-0.6,286000
PPO,287,1,3,-0.6,287000
PPO,288,2,0,1,288000
PPO,289,1,3,-0.6,289000
PPO,290,1,2,-0.4,290000
PPO,291,1,1,-0.2,291000
PPO,292,1,4,-0.8,292000
PPO,293,1,2,-0.4,293000
PPO,294,1,2,-0.4,294000
PPO,295,1,2,-0.4,295000
PPO,296,1,6,-1.2,296000
PPO,297,1,0,0,297000
PPO,298,1,4,-0.8,298000
PPO,299,1,2,-0.4,299000
PPO,300,1,2,-0.4,300000
PPO,301,1,5,-1,301000
PPO,302,1,3,-0.6,302000
PPO,303,1,1,-0.2,303000
PPO,304,1,5,-1,304000
PPO,305,1,6,-1.2,305000
PPO,306,1,4,-0.8,306000
PPO,307,1,3,-0.6,307000
PPO,308,2,4,0.2,308000
PPO,309,1,2,-0.4,309000
PPO,310,1,4,-0.8,310000
PPO,311,1,3,-0.6,311000
PPO,312,1,2,-0.4,312000
PPO,313,1,3,-0.6,313000
PPO,314,1,4,-0.8,314000
PPO,315,1,4,-0.8,315000
PPO,316,1,8,-1.6,316000
PPO,317,1,3,-0.6,317000
PPO,318,1,2,-0.4,318000
PPO,319,1,1,-0.2,319000
PPO,320,1,2,-0.4,320000
PPO,321,1,1,-0.2,321000
PPO,322,2,2,0.6,322000
PPO,323,1,1,-0.2,323000
PPO,324,1,1,-0.2,324000
PPO,325,1,6,-1.2,325000
PPO,326,1,4,-0.8,326000
PPO,327,1,3,-0.6,327000
PPO,328,1,2,-0.4,328000
PPO,329,1,2,-0.4,329000
PPO,330,1,7,-1.4,330000
PPO,331,1,3,-0.6,331000
PPO,332,1,2,-0.4,332000
PPO,333,1,2,-0.4,333000
PPO,334,1,2,-0.4,334000
PPO,335,1,2,-0.4,335000
PPO,336,1,3,-0.6,336000
PPO,337,1,5,-1,337000
PPO,338,1,4,-0.8,338000
PPO,339,1,3,-0.6,339000
PPO,340,1,1,-0.2,340000
PPO,341,1,6,-1.2,341000
PPO,342,1,5,-1,342000
PPO,343,1,3,-0.6,343000
PPO,344,1,2,-0.4,344000
PPO,345,1,2,-0.4,345000
PPO,346,1,1,-0.2,346000
PPO,347,1,3,-0.6,347000
PPO,348,1,2,-0.4,348000
PPO,349,1,1,-0.2,349000
PPO,350,1,3,-0.6,350000
PPO,351,1,2,-0.4,351000
PPO,352,1,2,-0.4,352000
PPO,353,1,1,-0.2,353000
PPO,354,1,1,-0.2,354000
PPO,355,1,4,-0.8,355000
PPO,356,1,3,-0.6,356000
PPO,357,1,5,-1,357000
PPO,358,1,4,-0.8,358000
PPO,359,1,1,-0.2,359000
PPO,360,1,0,0,360000
PPO,361,1,6,-1.2,361000
PPO,362,1,3,-0.6,362000
PPO,363,1,5,-1,363000
PPO,364,1,3,-0.6,364000
PPO,365,1,3,-0.6,365000
PPO,366,1,1,-0.2,366000
PPO,367,1,2,-0.4,367000
PPO,368,1,2,-0.4,368000
PPO,369,1,3,-0.6,369000
PPO,370,1,2,-0.4,370000
PPO,371,1,6,-1.2,371000
PPO,372,1,3,-0.6,372000
PPO,373,1,5,-1,373000
PPO,374,1,3,-0.6,374000
PPO,375,1,3,-0.6,375000
PPO,376,1,3,-0.6,376000
PPO,377,1,5,-1,377000
PPO,378,1,2,-0.4,378000
PPO,379,0,4,-1.8,379000
PPO,380,1,0,0,380000
PPO,381,1,3,-0.6,381000
PPO,382,1,5,-1,382000
PPO,383,1,6,-1.2,383000
PPO,384,1,4,-0.8,384000
PPO,385,1,4,-0.8,385000
PPO,386,1,6,-1.2,386000
PPO,387,1,1,-0.2,387000
PPO,388,1,3,-0.6,388000
PPO,389,1,5,-1,389000
PPO,390,1,2,-0.4,390000
PPO,391,1,5,-1,391000
PPO,392,1,1,-0.2,392000
PPO,393,1,6,-1.2,393000
PPO,394,2,2,0.6,394000
PPO,395,1,2,-0.4,395000
PPO,396,1,4,-0.8,396000
PPO,397,1,3,-0.6,397000
PPO,398,1,5,-1,398000
PPO,399,1,1,-0.2,399000
PPO,400,1,4,-0.8,400000
PPO,401,1,3,-0.6,401000
PPO,402,1,5,-1,402000
PPO,403,2,3,0.4,403000
PPO,404,1,2,-0.4,404000
PPO,405,1,2,-0.4,405000
PPO,406,1,1,-0.2,406000
PPO,407,1,5,-1,407000
PPO,408,1,3,-0.6,408000
PPO,409,1,4,-0.8,409000
PPO,410,1,5,-1,410000
PPO,411,1,2,-0.4,411000
PPO,412,1,3,-0.6,412000
PPO,413,1,1,-0.2,413000
PPO,414,1,8,-1.6,414000
PPO,415,1,5,-1,415000
PPO,416,1,3,-0.6,416000
PPO,417,1,3,-0.6,417000
PPO,418,1,2,-0.4,418000
PPO,419,1,2,-0.4,419000
PPO,420,1,2,-0.4,420000
PPO,421,1,2,-0.4,421000
PPO,422,1,3,-0.6,422000
PPO,423,1,4,-0.8,423000
PPO,424,1,7,-1.4,424000
PPO,425,1,4,-0.8,425000
PPO,426,1,2,-0.4,426000
PPO,427,0,2,-1.4,427000
