Episode,Pieces,WallHits,Reward,FixedUpdateCount
1,0,3,-0.6,1000
2,0,1,-0.2,2000
3,0,0,0,3000
4,0,4,-0.8,4000
5,0,3,-0.6,5000
6,0,0,0,6000
7,0,10,-2,7000
8,0,0,0,8000
9,0,6,-1.2,9000
10,0,0,0,10000
11,0,0,0,11000
12,-1,3,-1.6,12000
13,0,0,0,13000
14,0,0,0,14000
15,0,0,0,15000
16,0,0,0,16000
17,0,6,-1.2,17000
18,0,0,0,18000
19,0,1,-0.2,19000
20,0,2,-0.4,20000
21,0,2,-0.4,21000
22,0,0,0,22000
23,0,0,0,23000
24,0,0,0,24000
25,-1,8,-2.6,25000
26,0,2,-0.4,26000
27,0,1,-0.2,27000
28,0,4,-0.8,28000
29,0,4,-0.8,29000
30,0,3,-0.6,30000
31,0,4,-0.8,31000
32,0,3,-0.6,32000
33,0,0,0,33000
34,0,0,0,34000
35,0,0,0,35000
36,0,2,-0.4,36000
37,0,0,0,37000
38,0,6,-1.2,38000
39,0,0,0,39000
40,0,0,0,40000
41,0,3,-0.6,41000
42,0,0,0,42000
43,0,0,0,43000
44,0,1,-0.2,44000
45,0,0,0,45000
46,0,1,-0.2,46000
47,0,2,-0.4,47000
48,0,1,-0.2,48000
49,0,0,0,49000
50,0,3,-0.6,50000
51,0,9,-1.8,51000
52,-1,3,-1.6,52000
53,0,1,-0.2,53000
54,0,0,0,54000
55,0,0,0,55000
56,0,15,-3,56000
57,0,6,-1.2,57000
58,0,1,-0.2,58000
59,0,7,-1.4,59000
60,0,1,-0.2,60000
61,0,18,-3.6,61000
62,-1,9,-2.8,62000
63,0,3,-0.6,63000
64,0,3,-0.6,64000
65,0,0,0,65000
66,0,4,-0.8,66000
67,0,0,0,67000
68,0,3,-0.6,68000
69,0,0,0,69000
70,0,0,0,70000
71,0,5,-1,71000
72,0,5,-1,72000
73,0,7,-1.4,73000
74,0,0,0,74000
75,0,1,-0.2,75000
76,0,0,0,76000
77,0,0,0,77000
78,0,5,-1,78000
79,0,1,-0.2,79000
80,0,1,-0.2,80000
81,0,4,-0.8,81000
82,0,2,-0.4,82000
83,0,0,0,83000
84,-1,2,-1.4,84000
85,0,0,0,85000
86,0,0,0,86000
87,-1,6,-2.2,87000
88,0,0,0,88000
89,-1,11,-3.2,89000
90,0,12,-2.4,90000
91,0,1,-0.2,91000
92,0,0,0,92000
93,0,0,0,93000
94,0,0,0,94000
95,0,0,0,95000
96,0,0,0,96000
97,0,3,-0.6,97000
98,0,0,0,98000
99,0,5,-1,99000
100,0,1,-0.2,100000
101,0,7,-1.4,101000
102,0,0,0,102000
103,0,6,-1.2,103000
104,0,7,-1.4,104000
105,0,0,0,105000
106,0,0,0,106000
107,0,8,-1.6,107000
108,0,8,-1.6,108000
109,0,1,-0.2,109000
110,0,4,-0.8,110000
111,0,2,-0.4,111000
112,0,5,-1,112000
113,0,0,0,113000
114,0,8,-1.6,114000
115,0,10,-2,115000
116,0,0,0,116000
117,0,7,-1.4,117000
118,0,3,-0.6,118000
119,0,5,-1,119000
120,0,4,-0.8,120000
121,0,2,-0.4,121000
122,0,10,-2,122000
123,0,0,0,123000
124,0,0,0,124000
125,0,1,-0.2,125000
126,0,13,-2.6,126000
127,0,3,-0.6,127000
128,0,1,-0.2,128000
129,0,0,0,129000
130,0,0,0,130000
131,0,3,-0.6,131000
132,0,4,-0.8,132000
133,0,9,-1.8,133000
134,0,7,-1.4,134000
135,0,3,-0.6,135000
136,0,0,0,136000
137,-1,9,-2.8,137000
138,0,7,-1.4,138000
139,0,6,-1.2,139000
140,0,7,-1.4,140000
141,0,11,-2.2,141000
142,0,0,0,142000
143,0,0,0,143000
144,0,7,-1.4,144000
145,0,2,-0.4,145000
146,0,6,-1.2,146000
147,0,0,0,147000
148,0,13,-2.6,148000
149,0,6,-1.2,149000
150,0,5,-1,150000
151,0,3,-0.6,151000
152,0,0,0,152000
153,0,2,-0.4,153000
154,0,0,0,154000
