Method,Episode,Pieces,WallHits,Reward,FixedUpdateCount
PPO,0,-1,0,-1,1
PPO,1,0,0,0,1000
PPO,2,0,0,0,2000
PPO,3,0,0,0,3000
PPO,4,0,0,0,4000
PPO,5,0,0,0,5000
PPO,6,0,0,0,6000
PPO,7,1,0,1,7000
PPO,8,0,0,0,8000
PPO,9,0,0,0,9000
PPO,10,0,0,0,10000
PPO,11,0,0,0,11000
PPO,12,0,0,0,12000
PPO,13,0,0,0,13000
PPO,14,0,0,0,14000
PPO,15,0,0,0,15000
PPO,16,0,0,0,16000
PPO,17,0,0,0,17000
PPO,18,0,0,0,18000
PPO,19,0,0,0,19000
PPO,20,0,1,-0.2,20000
PPO,21,0,0,0,21000
PPO,22,0,0,0,22000
PPO,23,0,0,0,23000
PPO,24,0,0,0,24000
PPO,25,0,0,0,25000
PPO,26,0,0,0,26000
PPO,27,0,0,0,27000
PPO,28,0,0,0,28000
PPO,29,0,0,0,29000
PPO,30,0,0,0,30000
PPO,31,1,0,1,31000
PPO,32,0,0,0,32000
PPO,33,0,0,0,33000
PPO,34,0,0,0,34000
PPO,35,0,0,0,35000
PPO,36,0,0,0,36000
PPO,37,0,0,0,37000
PPO,38,0,0,0,38000
PPO,39,0,0,0,39000
PPO,40,0,0,0,40000
PPO,41,0,0,0,41000
PPO,42,0,0,0,42000
PPO,43,0,0,0,43000
PPO,44,0,0,0,44000
PPO,45,0,0,0,45000
PPO,46,0,0,0,46000
PPO,47,0,0,0,47000
PPO,48,0,0,0,48000
PPO,49,0,0,0,49000
PPO,50,0,0,0,50000
PPO,51,0,0,0,51000
PPO,52,1,10,-1,52000
PPO,53,0,0,0,53000
PPO,54,0,0,0,54000
PPO,55,0,0,0,55000
PPO,56,0,0,0,56000
PPO,57,0,0,0,57000
PPO,58,0,0,0,58000
PPO,59,0,0,0,59000
PPO,60,0,0,0,60000
PPO,61,0,0,0,61000
PPO,62,0,0,0,62000
PPO,63,0,0,0,63000
PPO,64,0,0,0,64000
PPO,65,0,0,0,65000
PPO,66,0,0,0,66000
PPO,67,0,0,0,67000
PPO,68,0,0,0,68000
PPO,69,0,0,0,69000
PPO,70,0,0,0,70000
PPO,71,0,0,0,71000
PPO,72,0,1,-0.2,72000
PPO,73,0,0,0,73000
PPO,74,0,0,0,74000
PPO,75,0,0,0,75000
PPO,76,0,0,0,76000
PPO,77,0,0,0,77000
PPO,78,0,0,0,78000
PPO,79,0,0,0,79000
PPO,80,0,0,0,80000
PPO,81,0,0,0,81000
PPO,82,0,0,0,82000
PPO,83,1,0,1,83000
PPO,84,0,0,0,84000
PPO,85,1,2,0.6,85000
PPO,86,0,0,0,86000
PPO,87,1,6,-0.2,87000
PPO,88,0,0,0,88000
PPO,89,0,0,0,89000
PPO,90,0,0,0,90000
PPO,91,0,0,0,91000
PPO,92,0,0,0,92000
PPO,93,0,0,0,93000
PPO,94,0,0,0,94000
PPO,95,0,0,0,95000
PPO,96,0,0,0,96000
PPO,97,0,0,0,97000
PPO,98,0,0,0,98000
PPO,99,0,0,0,99000
PPO,100,0,0,0,100000
PPO,101,0,0,0,101000
PPO,102,1,0,1,102000
PPO,103,0,0,0,103000
PPO,104,0,0,0,104000
PPO,105,1,8,-0.6,105000
PPO,106,0,0,0,106000
PPO,107,0,0,0,107000
PPO,108,0,0,0,108000
PPO,109,0,0,0,109000
PPO,110,0,0,0,110000
PPO,111,0,0,0,111000
PPO,112,0,0,0,112000
