Method,Episode,Pieces,WallHits,Reward,FixedUpdateCount
PPO,0,0,0,-1,1
PPO,1,12,0,11,1000
PPO,2,13,0,12,2000
PPO,3,13,0,12,3000
PPO,4,3,0,2,4000
PPO,5,9,0,8,5000
PPO,6,3,2,1.6,6000
PPO,7,13,0,12,7000
PPO,8,13,0,12,8000
PPO,9,3,0,2,9000
PPO,10,15,0,14,10000
PPO,11,14,0,13,11000
PPO,12,14,0,13,12000
PPO,13,12,2,10.6,13000
PPO,14,13,0,12,14000
PPO,15,3,2,1.6,15000
PPO,16,4,0,3,16000
PPO,17,3,2,1.6,17000
PPO,18,3,2,1.6,18000
PPO,19,14,0,13,19000
PPO,20,3,0,2,20000
PPO,21,4,2,2.6,21000
PPO,22,15,4,13.2,22000
PPO,23,14,0,13,23000
PPO,24,4,2,2.6,24000
PPO,25,14,0,13,25000
PPO,26,3,0,2,26000
PPO,27,14,0,13,27000
PPO,28,10,0,9,28000
PPO,29,15,0,14,29000
PPO,30,15,0,14,30000
PPO,31,9,0,8,31000
PPO,32,15,0,14,32000
PPO,33,14,0,13,33000
PPO,34,13,0,12,34000
PPO,35,14,0,13,35000
PPO,36,3,0,2,36000
PPO,37,15,4,13.2,37000
PPO,38,13,0,12,38000
PPO,39,6,2,4.6,39000
PPO,40,14,0,13,40000
PPO,41,3,4,1.2,41000
PPO,42,3,4,1.2,42000
PPO,43,5,2,3.6,43000
PPO,44,14,0,13,44000
PPO,45,6,0,5,45000
PPO,46,3,4,1.2,46000
PPO,47,3,0,2,47000
PPO,48,5,0,4,48000
PPO,49,12,2,10.6,49000
PPO,50,13,0,12,50000
PPO,51,3,2,1.6,51000
PPO,52,15,2,13.6,52000
PPO,53,15,0,14,53000
PPO,54,12,0,11,54000
PPO,55,9,0,8,55000
PPO,56,13,0,12,56000
PPO,57,11,4,9.2,57000
PPO,58,6,0,5,58000
PPO,59,14,4,12.2,59000
PPO,60,5,2,3.6,60000
PPO,61,3,0,2,61000
PPO,62,3,0,2,62000
PPO,63,14,0,13,63000
PPO,64,13,2,11.6,64000
PPO,65,5,2,3.6,65000
PPO,66,3,0,2,66000
PPO,67,3,4,1.2,67000
PPO,68,4,0,3,68000
PPO,69,14,0,13,69000
PPO,70,11,0,10,70000
PPO,71,6,0,5,71000
PPO,72,10,0,9,72000
PPO,73,7,2,5.6,73000
PPO,74,15,0,14,74000
PPO,75,11,2,9.6,75000
PPO,76,13,0,12,76000
PPO,77,15,0,14,77000
PPO,78,3,2,1.6,78000
PPO,79,12,0,11,79000
PPO,80,5,0,4,80000
PPO,81,3,2,1.6,81000
PPO,82,12,2,10.6,82000
PPO,83,5,0,4,83000
PPO,84,14,0,13,84000
PPO,85,13,0,12,85000
PPO,86,16,4,14.2,86000
PPO,87,3,0,2,87000
PPO,88,13,0,12,88000
PPO,89,12,0,11,89000
PPO,90,14,0,13,90000
PPO,91,4,2,2.6,91000
PPO,92,6,0,5,92000
PPO,93,15,2,13.6,93000
PPO,94,6,0,5,94000
PPO,95,14,0,13,95000
PPO,96,3,0,2,96000
PPO,97,11,5,9,97000
PPO,98,15,4,13.2,98000
PPO,99,10,0,9,99000
PPO,100,14,0,13,100000
PPO,101,14,0,13,101000
PPO,102,7,4,5.2,102000
PPO,103,13,6,10.8,103000
PPO,104,3,0,2,104000
PPO,105,8,2,6.6,105000
PPO,106,3,2,1.6,106000
PPO,107,13,2,11.6,107000
PPO,108,14,0,13,108000
PPO,109,13,0,12,109000
PPO,110,13,0,12,110000
PPO,111,10,0,9,111000
PPO,112,3,0,2,112000
PPO,113,3,0,2,113000
PPO,114,10,2,8.6,114000
PPO,115,14,0,13,115000
PPO,116,13,0,12,116000
PPO,117,3,2,1.6,117000
PPO,118,3,0,2,118000
PPO,119,11,0,10,119000
PPO,120,15,0,14,120000
PPO,121,3,2,1.6,121000
PPO,122,7,0,6,122000
