Method,Episode,Pieces,WallHits,Reward,FixedUpdateCount
NEAT,1,0,0,0,308
NEAT,1,3,0,3,1308
NEAT,2,12,11,9.8,2313
NEAT,3,12,11,9.8,3319
NEAT,4,7,8,5.4,4323
NEAT,5,5,5,4,5326
NEAT,6,5,6,3.8,6326
NEAT,7,12,9,10.2,7331
NEAT,8,8,6,6.8,8333
NEAT,9,7,6,5.8,9340
NEAT,10,7,4,6.2,10340
NEAT,11,12,10,10,11343
NEAT,12,4,3,3.4,12346
NEAT,13,5,3,4.4,13347
NEAT,14,8,7,6.6,14348
NEAT,15,9,9,7.2,15350
NEAT,16,11,9,9.2,16351
NEAT,17,12,8,10.4,17354
NEAT,18,13,2,12.6,18356
NEAT,19,13,0,13,19356
NEAT,20,13,0,13,20360
NEAT,21,13,4,12.2,21362
NEAT,22,12,1,11.8,22365
NEAT,23,15,9,13.2,23371
NEAT,24,13,4,12.2,24371
NEAT,25,12,0,12,25372
NEAT,26,13,2,12.6,26373
NEAT,27,13,2,12.6,27373
NEAT,28,13,2,12.6,28377
NEAT,29,13,1,12.8,29381
NEAT,30,13,0,13,30384
NEAT,31,14,2,13.6,31387
NEAT,32,13,0,13,32390
NEAT,33,14,7,12.6,33393
NEAT,34,12,0,12,34398
NEAT,35,13,0,13,35399
NEAT,36,13,0,13,36400
NEAT,37,13,4,12.2,37401
NEAT,38,14,4,13.2,38402
NEAT,39,14,2,13.6,39407
NEAT,40,13,0,13,40409
NEAT,41,13,2,12.6,41409
NEAT,42,13,3,12.4,42413
NEAT,43,13,2,12.6,43414
NEAT,44,13,2,12.6,44417
NEAT,45,13,6,11.8,45421
NEAT,46,13,8,11.4,46427
NEAT,47,13,2,12.6,47430
NEAT,48,14,8,12.4,48435
NEAT,49,14,7,12.6,49438
NEAT,50,4,8,2.4,50442
NEAT,51,13,4,12.2,51445
NEAT,52,13,2,12.6,52446
NEAT,53,14,4,13.2,53450
NEAT,54,16,29,10.2,54454
NEAT,55,13,4,12.2,55455
NEAT,56,3,5,2,56457
NEAT,57,14,6,12.8,57461
NEAT,58,13,0,13,58461
NEAT,59,14,8,12.4,59467
NEAT,60,13,9,11.2,60468
NEAT,61,14,5,13,61475
NEAT,62,12,0,12,62483
NEAT,63,13,0,13,63489
NEAT,64,14,6,12.8,64494
NEAT,65,14,2,13.6,65521
NEAT,66,14,11,11.8,66525
NEAT,67,12,0,12,67525
NEAT,68,16,11,13.8,68527
NEAT,69,14,10,12,69531
NEAT,70,11,16,7.8,70533
NEAT,71,12,0,12,71533
NEAT,72,14,5,13,72537
NEAT,73,14,5,13,73538
NEAT,74,12,4,11.2,74541
NEAT,75,13,7,11.6,75545
NEAT,76,14,6,12.8,76548
NEAT,77,12,2,11.6,77551
NEAT,78,13,2,12.6,78553
NEAT,79,13,18,9.4,79557
NEAT,80,13,2,12.6,80559
NEAT,81,13,7,11.6,81562
NEAT,82,14,2,13.6,82569
NEAT,83,14,4,13.2,83578
NEAT,84,13,5,12,84579
NEAT,85,14,6,12.8,85586
NEAT,86,14,2,13.6,86587
NEAT,87,14,4,13.2,87592
NEAT,88,13,0,13,88601
NEAT,89,14,4,13.2,89602
NEAT,90,14,4,13.2,90603
NEAT,91,13,0,13,91605
NEAT,92,14,2,13.6,92606
NEAT,93,13,0,13,93610
NEAT,94,13,2,12.6,94611
NEAT,95,13,2,12.6,95616
NEAT,96,14,6,12.8,96616
NEAT,97,13,8,11.4,97620
NEAT,98,14,6,12.8,98630
NEAT,99,14,2,13.6,99635
NEAT,100,14,4,13.2,100639
NEAT,101,13,2,12.6,101645
