Method,Episode,Pieces,WallHits,Reward,FixedUpdateCount
NEAT,1,0,0,0,78
NEAT,1,3,0,3,1099
NEAT,2,12,13,9.4,2103
NEAT,3,12,11,9.8,3109
NEAT,4,7,8,5.4,4114
NEAT,5,2,0,2,5119
NEAT,6,2,0,2,6124
NEAT,7,5,3,4.4,7129
NEAT,8,5,1,4.8,8130
NEAT,9,7,6,5.8,9134
NEAT,10,7,4,6.2,10135
NEAT,11,12,10,10,11141
NEAT,12,2,0,2,12142
NEAT,13,2,0,2,13143
NEAT,14,3,2,2.6,14150
NEAT,15,2,0,2,15150
NEAT,16,2,1,1.8,16157
NEAT,17,1,0,1,17157
NEAT,18,10,11,7.8,18161
NEAT,19,2,0,2,19162
NEAT,20,6,5,5,20168
NEAT,21,11,6,9.8,21170
NEAT,22,7,3,6.4,22171
NEAT,23,2,0,2,23175
NEAT,24,2,0,2,24179
NEAT,25,3,0,3,25186
NEAT,26,3,1,2.8,26186
NEAT,27,6,10,4,27192
NEAT,28,11,7,9.6,28193
NEAT,29,3,2,2.6,29199
NEAT,30,12,10,10,30199
NEAT,31,11,9,9.2,31205
NEAT,32,5,3,4.4,32213
NEAT,33,5,5,4,33215
NEAT,34,10,0,10,34219
NEAT,35,13,11,10.8,35221
NEAT,36,13,13,10.4,36229
NEAT,37,12,10,10,37237
NEAT,38,6,8,4.4,38238
NEAT,39,12,10,10,39240
NEAT,40,12,6,10.8,40242
NEAT,41,11,10,9,41247
NEAT,42,12,11,9.8,42252
NEAT,43,12,7,10.6,43257
NEAT,44,13,9,11.2,44261
NEAT,45,13,13,10.4,45265
NEAT,46,13,10,11,46273
NEAT,47,13,4,12.2,47288
NEAT,48,14,11,11.8,48292
NEAT,49,4,4,3.2,49297
NEAT,50,3,3,2.4,50301
NEAT,51,13,10,11,51304
NEAT,52,12,11,9.8,52305
NEAT,53,13,11,10.8,53307
NEAT,54,15,21,10.8,54310
NEAT,55,13,4,12.2,55311
NEAT,56,8,21,3.8,56313
NEAT,57,13,11,10.8,57316
NEAT,58,12,2,11.6,58317
NEAT,59,13,10,11,59322
NEAT,60,13,1,12.8,60323
NEAT,61,13,12,10.6,61330
NEAT,62,12,0,12,62333
NEAT,63,12,11,9.8,63334
NEAT,64,14,10,12,64340
NEAT,65,14,4,13.2,65341
NEAT,66,12,12,9.6,66343
NEAT,67,12,10,10,67347
NEAT,68,15,17,11.6,68349
NEAT,69,14,10,12,69351
NEAT,70,6,6,4.8,70355
NEAT,71,12,10,10,71361
NEAT,72,14,12,11.6,72362
NEAT,73,11,7,9.6,73362
NEAT,74,12,6,10.8,74364
NEAT,75,13,4,12.2,75369
NEAT,76,13,12,10.6,76373
NEAT,77,12,6,10.8,77377
NEAT,78,13,8,11.4,78378
NEAT,79,12,20,8,79382
NEAT,80,12,7,10.6,80388
NEAT,81,13,4,12.2,81391
NEAT,82,13,11,10.8,82393
NEAT,83,12,12,9.6,83399
NEAT,84,13,4,12.2,84402
NEAT,85,12,6,10.8,85403
NEAT,86,13,8,11.4,86408
NEAT,87,14,13,11.4,87412
NEAT,88,12,4,11.2,88415
NEAT,89,12,10,10,89421
NEAT,90,14,11,11.8,90424
NEAT,91,12,8,10.4,91428
NEAT,92,13,6,11.8,92431
NEAT,93,13,6,11.8,93434
NEAT,94,13,5,12,94439
NEAT,95,13,2,12.6,95442
NEAT,96,14,9,12.2,96443
NEAT,97,13,7,11.6,97444
NEAT,98,14,4,13.2,98447
NEAT,99,14,8,12.4,99454
NEAT,100,14,11,11.8,100460
NEAT,101,13,8,11.4,101460
NEAT,101,13,8,11.4,101460
