Episode,Pieces,WallHits,Reward,EpisodeTime,Success
PPO,0,0,0,-0.001,0
PPO,1,1,7,0,19.97999
PPO,2,1,0,0,19.99999
PPO,3,1,3,0,20
PPO,4,1,0,0,19.99999
PPO,5,1,0,0,19.99999
PPO,6,1,0,0,19.99999
PPO,7,1,3,0,19.99999
PPO,8,1,2,0,20
PPO,9,1,0,0,19.99998
PPO,10,1,0,0,20
PPO,11,1,4,0,19.99998
PPO,12,1,0,0,20
PPO,13,1,0,0,20
PPO,14,1,0,0,19.99997
PPO,15,1,7,0,20
PPO,16,1,0,0,20
PPO,17,1,0,0,20
PPO,18,1,2,0,19.99997
PPO,19,1,0,0,20
PPO,20,1,1,0,20
PPO,21,1,0,0,20
PPO,22,1,0,0,20
PPO,23,1,0,0,19.99997
PPO,24,1,5,0,20
PPO,25,1,0,0,20
PPO,26,1,0,0,19.99997
PPO,27,1,0,0,20
PPO,28,1,0,0,20
PPO,29,1,5,0,20
PPO,30,1,3,0,20
PPO,31,1,10,0,20
PPO,32,1,0,0,20
PPO,33,1,8,0,19.99994
PPO,34,1,11,0,20
PPO,35,1,6,0,20
PPO,36,1,6,0,20
PPO,37,1,7,0,20
PPO,38,1,1,0,20
PPO,39,1,10,0,20
PPO,40,1,0,0,20
PPO,41,1,7,0,20
PPO,42,1,4,0,19.99994
PPO,43,1,13,0,20
PPO,44,1,0,0,20
PPO,45,1,7,0,20
PPO,46,1,6,0,20
PPO,47,1,1,0,20
PPO,48,1,0,0,20
PPO,49,1,4,0,20
PPO,50,1,4,0,20
PPO,51,1,0,0,19.99994
PPO,52,1,0,0,20
PPO,53,1,6,0,20
PPO,54,1,5,0,20
PPO,55,1,0,0,20
PPO,56,1,9,0,20
PPO,57,1,0,0,20
PPO,58,1,5,0,20
PPO,59,1,2,0,20
PPO,60,1,10,0,20
PPO,61,1,0,0,20
PPO,62,1,0,0,20
PPO,63,1,5,0,20
PPO,64,0,8,0,19.99988
PPO,65,1,0,0,20
PPO,66,1,0,0,20
PPO,67,1,0,0,20
PPO,68,1,6,0,20
PPO,69,1,7,0,20
PPO,70,1,0,0,20
PPO,71,1,0,0,20
PPO,72,1,0,0,20
PPO,73,1,0,0,20
PPO,74,1,0,0,20
PPO,75,1,0,0,20
PPO,76,1,2,0,20
PPO,77,1,1,0,20
PPO,78,1,0,0,20
PPO,79,1,0,0,20
PPO,80,1,2,0,20
PPO,81,1,1,0,19.99988
PPO,82,1,0,0,20
PPO,83,1,0,0,20
PPO,84,1,9,0,20
PPO,85,1,0,0,20
PPO,86,1,0,0,20
PPO,87,1,0,0,20
PPO,88,1,0,0,20
PPO,89,1,0,0,20
PPO,90,1,0,0,20
PPO,91,1,0,0,20
PPO,92,1,0,0,20
PPO,93,1,0,0,20
PPO,94,1,0,0,20
PPO,95,1,2,0,20
PPO,96,1,8,0,20
PPO,97,1,0,0,20
PPO,98,1,2,0,19.99988
PPO,99,1,0,0,20
PPO,100,1,11,0,20
PPO,101,1,3,0,20
PPO,102,1,1,0,20
PPO,103,1,3,0,20
PPO,104,1,5,0,20
PPO,105,1,5,0,20
PPO,106,1,1,0,20
PPO,107,1,3,0,20
PPO,108,1,7,0,20
PPO,109,1,0,0,20
PPO,110,1,5,0,20
PPO,111,1,4,0,20
PPO,112,1,0,0,20
PPO,113,1,0,0,20
PPO,114,1,10,0,20
PPO,115,1,0,0,20
PPO,116,1,6,0,20
PPO,117,1,0,0,20
PPO,118,1,0,0,20
PPO,119,1,1,0,20
PPO,120,1,0,0,20
PPO,121,1,10,0,20
PPO,122,1,12,0,20
PPO,123,1,0,0,20
PPO,124,1,6,0,19.99976
PPO,125,1,4,0,20
PPO,126,1,5,0,20
PPO,127,1,12,0,20
PPO,128,1,0,0,20
PPO,129,1,0,0,20
PPO,130,1,5,0,20
PPO,131,1,0,0,20
PPO,132,1,1,0,20
PPO,133,1,12,0,20
PPO,134,1,4,0,20
PPO,135,1,0,0,20
PPO,136,1,14,0,20
PPO,137,1,9,0,20
PPO,138,1,11,0,20
PPO,139,1,5,0,20
PPO,140,1,7,0,20
PPO,141,1,3,0,20
PPO,142,1,4,0,20
PPO,143,1,3,0,20
PPO,144,1,10,0,20
PPO,145,1,0,0,20
PPO,146,1,0,0,20
PPO,147,1,12,0,20
PPO,148,1,5,0,20
PPO,149,1,0,0,20
PPO,150,1,5,0,20
PPO,151,1,12,0,20
PPO,152,1,0,0,20
PPO,153,1,0,0,20
PPO,154,1,5,0,20
PPO,155,1,1,0,20
PPO,156,1,0,0,20
PPO,157,1,0,0,20
PPO,158,1,0,0,19.99976
PPO,159,1,0,0,20
PPO,160,1,0,0,20
PPO,161,1,0,0,20
PPO,162,1,2,0,20
PPO,163,1,2,0,20
PPO,164,1,0,0,20
PPO,165,1,1,0,20
PPO,166,1,0,0,20
PPO,167,1,2,0,20
PPO,168,1,0,0,20
PPO,169,1,0,0,20
PPO,170,1,0,0,20
PPO,171,1,5,0,20
PPO,172,1,0,0,20
PPO,173,1,2,0,20
PPO,174,1,0,0,20
PPO,175,1,5,0,20
PPO,176,1,3,0,20
PPO,177,1,0,0,20
PPO,178,1,4,0,20
PPO,179,1,5,0,20
PPO,180,1,0,0,20
PPO,181,1,3,0,20
PPO,182,1,0,0,20
PPO,183,1,1,0,20
PPO,184,1,9,0,20
PPO,185,1,4,0,20
PPO,186,1,7,0,20
PPO,187,1,11,0,20
PPO,188,1,6,0,20
PPO,189,1,7,0,20
PPO,190,1,1,0,20
PPO,191,1,0,0,20
PPO,192,1,1,0,20
PPO,193,1,0,0,19.99976
PPO,194,1,0,0,20
PPO,195,1,9,0,20
PPO,196,1,0,0,20
PPO,197,0,2,0,20
PPO,198,1,10,0,20
PPO,199,1,3,0,20
PPO,200,1,0,0,20
PPO,201,1,2,0,20
PPO,202,1,1,0,20
PPO,203,1,10,0,20
PPO,204,1,0,0,20
PPO,205,1,0,0,20
PPO,206,1,1,0,20
PPO,207,1,0,0,20
PPO,208,1,6,0,20
PPO,209,1,2,0,20
PPO,210,1,0,0,20
PPO,211,1,4,0,20
PPO,212,1,0,0,20
PPO,213,1,0,0,20
PPO,214,1,1,0,20
PPO,215,1,0,0,20
PPO,216,1,0,0,20
PPO,217,1,0,0,20
PPO,218,1,7,0,20
PPO,219,1,9,0,20
PPO,220,1,0,0,20
PPO,221,1,6,0,20
PPO,222,1,0,0,20
PPO,223,1,11,0,20
PPO,224,1,5,0,20
PPO,225,1,2,0,20
PPO,226,1,0,0,20
PPO,227,1,11,0,20
PPO,228,1,3,0,20
PPO,229,1,2,0,20
PPO,230,1,0,0,20
PPO,231,1,3,0,20
PPO,232,1,0,0,20
PPO,233,1,0,0,20
PPO,234,1,0,0,20
PPO,235,1,4,0,20
PPO,236,1,8,0,20
PPO,237,1,0,0,20
PPO,238,1,0,0,20
PPO,239,1,0,0,20
PPO,240,1,0,0,20
PPO,241,1,5,0,20
PPO,242,1,0,0,20
PPO,243,1,5,0,20
PPO,244,1,2,0,19.99951
PPO,245,1,8,0,20
PPO,246,1,5,0,20
PPO,247,1,11,0,20
PPO,248,1,0,0,20
PPO,249,1,0,0,20
PPO,250,1,1,0,20
PPO,251,1,0,0,20
PPO,252,1,0,0,20
PPO,253,1,0,0,20
PPO,254,1,8,0,20
PPO,255,1,2,0,20
PPO,256,1,2,0,20
PPO,257,1,0,0,20
PPO,258,1,0,0,20
PPO,259,1,0,0,20
PPO,260,1,0,0,20
PPO,261,1,5,0,20
PPO,262,1,0,0,20
PPO,263,1,3,0,20
PPO,264,1,6,0,20
PPO,265,0,2,0,20
PPO,266,1,4,0,20
PPO,267,1,0,0,20
PPO,268,1,1,0,20
PPO,269,1,0,0,20
PPO,270,1,0,0,20
PPO,271,1,0,0,20
PPO,272,1,8,0,20
PPO,273,1,9,0,20
PPO,274,1,6,0,20
PPO,275,1,0,0,20
PPO,276,1,0,0,20
PPO,277,1,0,0,20
PPO,278,0,9,0,20
PPO,279,1,12,0,20
PPO,280,0,3,0,20
PPO,281,1,0,0,20
PPO,282,1,4,0,20
PPO,283,1,4,0,20
PPO,284,1,0,0,20
PPO,285,1,0,0,20
PPO,286,1,0,0,20
PPO,287,1,2,0,20
PPO,288,1,0,0,20
PPO,289,1,8,0,20
PPO,290,1,4,0,20
PPO,291,1,8,0,20
PPO,292,1,0,0,20
PPO,293,1,3,0,20
PPO,294,1,5,0,20
PPO,295,1,3,0,20
PPO,296,1,0,0,20
PPO,297,1,11,0,20
PPO,298,1,2,0,20
PPO,299,1,0,0,20
PPO,300,1,2,0,20
PPO,301,1,0,0,20
PPO,302,1,0,0,20
PPO,303,1,0,0,20
PPO,304,1,0,0,20
PPO,305,1,0,0,20
PPO,306,1,6,0,20
PPO,307,1,1,0,20
PPO,308,1,3,0,20
PPO,309,1,0,0,20
PPO,310,1,0,0,20
PPO,311,1,3,0,20
PPO,312,1,0,0,20
PPO,313,1,0,0,19.99951
PPO,314,1,0,0,20
PPO,315,1,9,0,20
PPO,316,1,1,0,20
PPO,317,1,0,0,20
PPO,318,1,0,0,20
PPO,319,1,0,0,20
PPO,320,1,0,0,20
PPO,321,1,0,0,20
PPO,322,1,0,0,20
PPO,323,1,0,0,20
PPO,324,1,0,0,20
PPO,325,1,0,0,20
PPO,326,1,0,0,20
PPO,327,1,3,0,20
PPO,328,1,2,0,20
PPO,329,1,0,0,20
PPO,330,1,0,0,20
PPO,331,1,0,0,20
PPO,332,1,0,0,20
PPO,333,1,4,0,20
PPO,334,1,0,0,20
PPO,335,1,0,0,20
PPO,336,1,0,0,20
PPO,337,1,0,0,20
PPO,338,1,0,0,20
PPO,339,1,2,0,20
PPO,340,1,2,0,20
PPO,341,1,1,0,20
PPO,342,1,0,0,20
PPO,343,1,0,0,20
PPO,344,1,0,0,20
PPO,345,1,1,0,20
PPO,346,1,11,0,20
PPO,347,1,0,0,20
PPO,348,1,0,0,20
PPO,349,1,2,0,20
PPO,350,1,0,0,20
PPO,351,1,0,0,20
PPO,352,1,7,0,20
PPO,353,1,3,0,20
PPO,354,1,0,0,20
PPO,355,1,1,0,20
PPO,356,1,0,0,20
PPO,357,1,0,0,20
PPO,358,1,0,0,20
PPO,359,1,0,0,20
PPO,360,1,0,0,20
PPO,361,1,0,0,20
PPO,362,1,0,0,20
PPO,363,1,0,0,20
PPO,364,1,9,0,20
PPO,365,1,2,0,20
PPO,366,1,0,0,20
PPO,367,1,1,0,20
PPO,368,1,5,0,20
PPO,369,1,0,0,20
PPO,370,1,0,0,20
PPO,371,1,0,0,20
PPO,372,1,0,0,20
PPO,373,1,0,0,20
PPO,374,1,4,0,20
PPO,375,1,4,0,20
PPO,376,1,2,0,20
PPO,377,1,5,0,20
PPO,378,1,0,0,20
PPO,379,1,1,0,20
PPO,380,1,2,0,20
PPO,381,1,12,0,20
PPO,382,1,2,0,19.99951
PPO,383,1,0,0,20
PPO,384,1,2,0,20
PPO,385,1,7,0,20
PPO,386,1,5,0,20
PPO,387,1,0,0,20
PPO,388,1,0,0,20
PPO,389,1,4,0,20
PPO,390,1,4,0,20
PPO,391,1,0,0,20
PPO,392,1,0,0,20
PPO,393,1,0,0,20
PPO,394,1,0,0,20
PPO,395,1,2,0,20
PPO,396,1,0,0,20
PPO,397,1,0,0,20
PPO,398,1,4,0,20
PPO,399,1,6,0,20
PPO,400,1,5,0,20
PPO,401,0,2,0,20
PPO,402,1,0,0,20
PPO,403,1,0,0,20
PPO,404,1,0,0,20
PPO,405,1,1,0,20
PPO,406,1,1,0,20
PPO,407,1,4,0,20
PPO,408,1,6,0,20
PPO,409,1,4,0,20
PPO,410,1,2,0,20.00049
PPO,411,1,0,0,20
PPO,412,1,0,0,20
PPO,413,1,0,0,20
PPO,414,1,0,0,20
PPO,415,1,1,0,20
PPO,416,1,0,0,20
PPO,417,1,0,0,19.99902
PPO,418,1,3,0,20
PPO,419,1,9,0,20
PPO,420,1,1,0,20
PPO,421,1,0,0,20
PPO,422,1,0,0,20
PPO,423,1,0,0,20
PPO,424,1,0,0,20
PPO,425,1,0,0,20
PPO,426,1,0,0,20
PPO,427,1,0,0,20
PPO,428,1,3,0,20
PPO,429,1,0,0,20
PPO,430,1,4,0,20
PPO,431,1,0,0,20
PPO,432,1,3,0,20
PPO,433,1,0,0,20
PPO,434,1,0,0,20
PPO,435,1,0,0,20
PPO,436,1,2,0,20
PPO,437,1,0,0,20
PPO,438,1,0,0,20
PPO,439,1,0,0,20
PPO,440,1,0,0,20
PPO,441,1,0,0,20
PPO,442,1,0,0,20
PPO,443,1,0,0,20
PPO,444,1,5,0,20
PPO,445,1,0,0,20
PPO,446,1,0,0,20
PPO,447,1,0,0,20
PPO,448,1,0,0,20
PPO,449,1,0,0,20
PPO,450,1,0,0,20
PPO,451,1,0,0,20
PPO,452,1,5,0,20
PPO,453,1,0,0,20
PPO,454,1,0,0,20
PPO,455,1,0,0,20
PPO,456,1,0,0,20
PPO,457,1,0,0,20
PPO,458,1,1,0,20
PPO,459,1,0,0,20
PPO,460,1,0,0,20
PPO,461,1,0,0,20
PPO,462,1,5,0,20
PPO,463,1,4,0,20
PPO,464,1,6,0,20
PPO,465,1,3,0,20
PPO,466,1,4,0,20
PPO,467,1,1,0,20
PPO,468,1,0,0,20
PPO,469,1,2,0,20
PPO,470,1,7,0,20
PPO,471,1,11,0,20
PPO,472,1,0,0,20
PPO,473,1,0,0,20
PPO,474,1,0,0,20
PPO,475,1,0,0,20
PPO,476,1,0,0,20
PPO,477,1,4,0,20
PPO,478,1,7,0,20
PPO,479,1,5,0,20
PPO,480,1,0,0,20
PPO,481,1,0,0,20
PPO,482,1,0,0,20
PPO,483,1,17,0,20
PPO,484,1,7,0,20
PPO,485,1,0,0,20
PPO,486,1,7,0,20
PPO,487,1,2,0,20
PPO,488,1,0,0,20
PPO,489,1,0,0,20
PPO,490,1,1,0,20
PPO,491,1,2,0,20
PPO,492,1,0,0,20
PPO,493,1,2,0,20
PPO,494,1,0,0,20
PPO,495,1,0,0,20
PPO,496,1,0,0,20
PPO,497,1,0,0,20
PPO,498,1,6,0,20
PPO,499,1,0,0,20
PPO,500,1,1,0,20
PPO,501,1,0,0,20
PPO,502,1,2,0,20
PPO,503,1,3,0,20
PPO,504,1,3,0,20
PPO,505,1,0,0,20
PPO,506,1,8,0,20
PPO,507,1,3,0,20
PPO,508,1,7,0,20
PPO,509,1,0,0,20
PPO,510,1,0,0,20
PPO,511,0,3,0,20
PPO,512,1,0,0,20
PPO,513,1,1,0,20
PPO,514,1,0,0,20
PPO,515,1,0,0,20
PPO,516,1,0,0,20
PPO,517,1,0,0,20
PPO,518,1,0,0,20
PPO,519,1,0,0,20
PPO,520,1,0,0,20
PPO,521,1,0,0,20
PPO,522,1,0,0,20
PPO,523,1,4,0,20
PPO,524,1,2,0,20
PPO,525,1,2,0,20
PPO,526,1,0,0,20
PPO,527,1,0,0,20
PPO,528,1,6,0,20
PPO,529,1,0,0,20
PPO,530,1,0,0,20
PPO,531,1,0,0,20
PPO,532,1,0,0,20
PPO,533,1,0,0,20
PPO,534,1,0,0,20
PPO,535,1,0,0,20
PPO,536,1,0,0,20
PPO,537,1,0,0,20
PPO,538,1,1,0,20
PPO,539,1,0,0,20
PPO,540,1,0,0,20
PPO,541,2,0,0,20
PPO,542,1,0,0,20
PPO,543,1,1,0,20
PPO,544,1,0,0,20
PPO,545,1,0,0,20
PPO,546,1,0,0,20
PPO,547,1,0,0,20
PPO,548,1,1,0,20
PPO,549,1,0,0,20
PPO,550,1,0,0,20
PPO,551,1,0,0,20
PPO,552,1,0,0,20
PPO,553,1,0,0,20
PPO,554,1,0,0,20
PPO,555,1,0,0,19.99902
PPO,556,1,0,0,20
PPO,557,1,0,0,20
PPO,558,1,0,0,20
PPO,559,1,0,0,20
PPO,560,1,0,0,20
PPO,561,1,0,0,20
PPO,562,0,6,0,20
PPO,563,1,0,0,20
PPO,564,1,0,0,20
PPO,565,1,0,0,20
PPO,566,1,3,0,20
PPO,567,1,0,0,20
PPO,568,1,3,0,20
PPO,569,1,0,0,20
PPO,570,1,0,0,20
PPO,571,1,0,0,20
PPO,572,1,1,0,20
PPO,573,1,1,0,20
PPO,574,0,13,0,20
PPO,575,1,0,0,20
PPO,576,1,0,0,20
PPO,577,1,3,0,20
PPO,578,1,2,0,20
PPO,579,1,0,0,20
PPO,580,1,0,0,20
PPO,581,1,0,0,20
PPO,582,0,5,0,20
PPO,583,1,0,0,20
PPO,584,1,0,0,20
PPO,585,1,0,0,20
PPO,586,1,0,0,20
PPO,587,1,0,0,20
PPO,588,1,0,0,20
PPO,589,1,0,0,20
PPO,590,1,2,0,20
PPO,591,1,0,0,20
PPO,592,1,0,0,20
PPO,593,1,5,0,20
PPO,594,1,0,0,20
PPO,595,1,0,0,20
PPO,596,1,0,0,20
PPO,597,1,0,0,20
PPO,598,1,0,0,20
PPO,599,1,0,0,20
PPO,600,1,0,0,20
PPO,601,1,0,0,20
PPO,602,1,0,0,20
PPO,603,1,0,0,20
PPO,604,1,0,0,20
PPO,605,1,0,0,20
PPO,606,1,0,0,20
PPO,607,1,2,0,20
PPO,608,1,0,0,20
PPO,609,1,0,0,20
PPO,610,1,0,0,20
PPO,611,1,3,0,20
PPO,612,1,0,0,20
PPO,613,1,1,0,20
PPO,614,1,0,0,20
PPO,615,1,4,0,20
PPO,616,1,11,0,20
PPO,617,1,0,0,20
PPO,618,1,0,0,20
PPO,619,1,0,0,20
PPO,620,1,0,0,20
PPO,621,1,0,0,20
PPO,622,1,0,0,20
PPO,623,1,0,0,20
PPO,624,1,0,0,20
PPO,625,1,0,0,20
PPO,626,1,0,0,20
PPO,627,1,0,0,20
PPO,628,1,4,0,20
PPO,629,1,0,0,20
PPO,630,1,0,0,20
PPO,631,1,0,0,20
PPO,632,1,0,0,20
PPO,633,1,0,0,20
PPO,634,1,0,0,20
PPO,635,1,0,0,20
PPO,636,1,0,0,20
PPO,637,1,0,0,20
PPO,638,1,0,0,20
PPO,639,1,0,0,20
PPO,640,1,0,0,20
PPO,641,1,0,0,20
PPO,642,1,0,0,20
PPO,643,1,0,0,20
PPO,644,1,0,0,20
PPO,645,1,0,0,20
PPO,646,1,0,0,20
PPO,647,1,0,0,20
PPO,648,1,0,0,20
PPO,649,1,0,0,20
PPO,650,1,0,0,20
PPO,651,1,0,0,20
PPO,652,1,0,0,20
PPO,653,1,0,0,20
PPO,654,1,0,0,20
PPO,655,1,0,0,20
PPO,656,1,0,0,20
PPO,657,1,0,0,20
PPO,658,1,0,0,20
PPO,659,1,0,0,20
PPO,660,1,0,0,20
PPO,661,1,0,0,20
PPO,662,1,0,0,20
PPO,663,1,0,0,20
PPO,664,1,0,0,20
PPO,665,1,0,0,20
PPO,666,1,0,0,20
PPO,667,1,0,0,20
PPO,668,1,0,0,20
PPO,669,2,0,0,20
PPO,670,1,0,0,20
PPO,671,1,0,0,20
PPO,672,1,5,0,20
PPO,673,1,0,0,20
PPO,674,1,0,0,20
PPO,675,1,0,0,20
PPO,676,1,0,0,20
PPO,677,1,0,0,20
PPO,678,1,0,0,20
PPO,679,1,0,0,20
PPO,680,1,0,0,20
PPO,681,1,0,0,20
PPO,682,1,0,0,20
PPO,683,1,0,0,20
PPO,684,1,0,0,20
PPO,685,1,0,0,20
PPO,686,1,0,0,20
PPO,687,1,0,0,20
PPO,688,1,0,0,20
PPO,689,1,15,0,20
PPO,690,1,0,0,20
PPO,691,1,2,0,20
PPO,692,1,0,0,19.99902
PPO,693,1,0,0,20
PPO,694,1,0,0,20
PPO,695,1,0,0,20
PPO,696,1,0,0,20
PPO,697,1,0,0,20
PPO,698,1,3,0,20
PPO,699,1,0,0,20
PPO,700,1,2,0,20
PPO,701,1,0,0,20
PPO,702,1,0,0,20
PPO,703,1,0,0,20
PPO,704,1,0,0,20
PPO,705,1,0,0,20
PPO,706,1,0,0,20
PPO,707,1,0,0,20
PPO,708,1,0,0,20
PPO,709,1,0,0,20
PPO,710,1,0,0,20
PPO,711,1,0,0,20
PPO,712,1,0,0,20
PPO,713,1,0,0,20
PPO,714,1,0,0,20
PPO,715,1,0,0,20
PPO,716,1,1,0,20
PPO,717,1,0,0,20
PPO,718,1,0,0,20
PPO,719,1,0,0,20
PPO,720,1,0,0,20
PPO,721,1,0,0,20
PPO,722,1,0,0,20
PPO,723,1,0,0,20
PPO,724,1,0,0,20
PPO,725,1,0,0,20
PPO,726,1,0,0,20
PPO,727,1,0,0,20
PPO,728,1,0,0,20
PPO,729,1,0,0,20
PPO,730,1,0,0,20
PPO,731,1,0,0,20
PPO,732,1,0,0,20
PPO,733,1,1,0,20
PPO,734,1,0,0,20
PPO,735,1,0,0,20
PPO,736,1,0,0,20
PPO,737,1,0,0,20
PPO,738,1,0,0,20
PPO,739,1,0,0,20
PPO,740,1,0,0,20
PPO,741,1,0,0,20
PPO,742,1,0,0,20
PPO,743,1,0,0,20
PPO,744,1,0,0,20
PPO,745,1,0,0,20
PPO,746,1,0,0,20
PPO,747,1,0,0,20
PPO,748,1,0,0,20
PPO,749,1,0,0,20
